cohort,outcome,n,events,status,reason,estimand,death_handling,mortality_available,risk_cmm4_0,risk_cmm4_1,risk_cmm4_2,risk_cmm4_ge3,risk_difference_ge3_vs_0,risk_difference_ci_low,risk_difference_ci_high,reciprocal_positive_risk_difference,reciprocal_is_descriptive_not_nns
charls,any_cognitive,25237,2577,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,True,0.1058517888233716,0.09964641824806028,0.09004847159770313,0.09098529185189433,-0.014866496971477267,-0.03771081801259557,0.007977824069641034,,True
charls,any_functional,25237,3244,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,True,0.11200665313938889,0.1381587968829531,0.16982237541160022,0.22788529290657214,0.11587863976718325,0.08270803229983223,0.14904924723453428,8.629718143129251,True
elsa,any_cognitive,36540,4525,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,False,0.12242713270426252,0.12304501564016432,0.12950627034527373,0.13271478036982912,0.010287647665566599,-0.014233362624811535,0.03480865795594473,97.20395103995082,True
elsa,any_functional,36540,3021,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,False,0.06511206283109407,0.08675298495147873,0.12108325020909133,0.17429739546823508,0.10918533263714102,0.07947990914751146,0.13889075612677057,9.158739327408846,True
hrs,any_cognitive,98847,9105,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,True,0.08679513783981306,0.09095938692123483,0.0981002421112838,0.10780798848341279,0.02101285064359973,0.012414641740143279,0.02961105954705618,47.58992565840125,True
hrs,any_functional,98847,8540,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,True,0.06523788162415375,0.08440849457572737,0.10829366464325726,0.16572484110776087,0.10048695948360711,0.08887076124685107,0.11210315772036315,9.95154003204898,True
klosa,any_cognitive,19876,1743,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,True,0.08654591712683214,0.08590827006059318,0.09435408559895338,0.09004976096427333,0.0035038438374411923,-0.018220527144402716,0.0252282148192851,285.40084729640404,True
klosa,any_functional,19876,797,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,True,0.03586136951231372,0.03675402284618487,0.05312532675290503,0.07351029753249352,0.0376489280201798,0.015479831378800261,0.05981802466155934,26.56118122311479,True
mhas,any_cognitive,14108,1613,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,True,0.11811588655449451,0.10989345734350175,0.11735024799081323,0.10986157015799049,-0.008254316396504022,-0.040817853991182027,0.024309221198173983,,True
mhas,any_functional,14108,1678,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,True,0.08518332871623076,0.12168196051750431,0.1732829377652902,0.21163597792771047,0.1264526492114797,0.07964997715995921,0.1732553212630002,7.908098456107454,True
share,any_cognitive,71680,6056,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,True,0.08345741013558204,0.0814962478108048,0.09207668643737787,0.09141168277502215,0.00795427263944011,-0.0018808698582535362,0.01778941513713376,125.7185974543599,True
share,any_functional,71680,5866,estimated,,survivor_conditional_standardised_risk,observed_living_endpoint_survivor_conditional_model,True,0.06374002948987886,0.08045196607888055,0.11949830178366254,0.15270662835690305,0.08896659886702418,0.07478877075897461,0.10314442697507376,11.240173421653122,True
