term,estimate,std_error,p_value,outcome,n,clusters,converged,cohort,analysis,adjustment_set,exposure,state_definition,standardization,persistent,covariates_used,estimand,death_handling,mortality_available,paired_intervals
cmm4_start,-0.08748089565995046,0.030596720119881723,0.004247654740776016,any_cognitive,26395,12585,True,charls,transition_gee,mental_health,cmm4_start,reference_locked_0.20,fixed,False,"depression,psychiatric",survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,True,
cmm4_start,0.2840588966269005,0.025087654802308783,1.013533169676104e-29,any_functional,26395,12585,True,charls,transition_gee,mental_health,cmm4_start,reference_locked_0.20,fixed,False,"depression,psychiatric",survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,True,
cmm4_start,-0.16386257067223142,0.033971398320915135,1.4102888575963235e-06,cognitive_only,26395,12585,True,charls,transition_gee,mental_health,cmm4_start,reference_locked_0.20,fixed,False,"depression,psychiatric",survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,True,
cmm4_start,0.2889095197303161,0.02638146538995599,6.555069925996911e-28,functional_only,26395,12585,True,charls,transition_gee,mental_health,cmm4_start,reference_locked_0.20,fixed,False,"depression,psychiatric",survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,True,
cmm4_start,0.17705966209440216,0.05867365472123116,0.002546984147376102,joint,26395,12585,True,charls,transition_gee,mental_health,cmm4_start,reference_locked_0.20,fixed,False,"depression,psychiatric",survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,True,
cmm4_start,0.011158738457304558,0.025794643110684516,0.6653060697977928,any_cognitive,37709,10946,True,elsa,transition_gee,mental_health,cmm4_start,reference_locked_0.20,fixed,False,"depression,psychiatric",survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,False,
cmm4_start,0.32044043734361866,0.02565820193261842,8.592808088581911e-36,any_functional,37709,10946,True,elsa,transition_gee,mental_health,cmm4_start,reference_locked_0.20,fixed,False,"depression,psychiatric",survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,False,
cmm4_start,-0.02501238395070386,0.02813004806971391,0.37391193121254485,cognitive_only,37709,10946,True,elsa,transition_gee,mental_health,cmm4_start,reference_locked_0.20,fixed,False,"depression,psychiatric",survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,False,
cmm4_start,0.33692011562087304,0.0272810911674782,4.874162806009304e-35,functional_only,37709,10946,True,elsa,transition_gee,mental_health,cmm4_start,reference_locked_0.20,fixed,False,"depression,psychiatric",survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,False,
cmm4_start,0.15026380328710728,0.05283287996454299,0.0044532280576208465,joint,37709,10946,True,elsa,transition_gee,mental_health,cmm4_start,reference_locked_0.20,fixed,False,"depression,psychiatric",survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,False,
