analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,term,estimand,death_handling,k,pooled,ci_low,ci_high,prediction_low,prediction_high,tau2,i2,cohorts,covariates_by_cohort,n_total,clusters_total,mortality_availability_by_cohort,scale
binary_domain_interaction,mental_health,reference_locked_0.20,fixed,False,any_domain,cmm4_start,"C(domain, Treatment(reference='cognitive'))[T.functional]:cmm4_start",survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.3306165145391358,1.2232135737835916,1.4474498539839769,1.0761417423702246,1.6452668259709229,0.004772746704098726,79.20595174480476,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",536032,107828,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,ratio_of_odds_ratios
binary_domain_interaction,mental_health,reference_locked_0.20,fixed,False,any_domain,cmm4_start,cmm4_start,survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.009842487687506,0.9490695499929664,1.074506973642183,0.8597354378734462,1.186157746924239,0.0027764551768559905,81.34779969850823,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",536032,107828,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
cmm3_no_stroke_binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm3_no_stroke_start,"C(domain, Treatment(reference='cognitive'))[T.functional]:cmm3_no_stroke_start",survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.319766973213832,1.2154569455321704,1.4330288456440419,1.0796190052476429,1.6133329027368029,0.0042071155373273475,76.08109411682234,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",532352,107221,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,ratio_of_odds_ratios
cmm3_no_stroke_binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm3_no_stroke_start,cmm3_no_stroke_start,survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,0.997820921981878,0.9388577424107372,1.0604871721973654,0.8536113542726016,1.1663933327049028,0.002599483035847788,79.7362008716148,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",532352,107221,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
cmm3_no_stroke_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm3_no_stroke_change_raw,cmm3_no_stroke_change_raw[cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.027781257950552633,0.007972483768604079,0.04759003213250119,-0.020142120868052824,0.07570463676915809,0.00023855001493925372,70.81058672007639,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",361686,130714,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
cmm3_no_stroke_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm3_no_stroke_change_raw,cmm3_no_stroke_change_raw[functional-minus-cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.033467894548420515,0.004587803177751877,0.062347985919089154,-0.03432746402195687,0.1012632531187979,0.0004700191023480937,68.04838959282236,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",361686,130714,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
cmm3_no_stroke_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm3_no_stroke_change_raw,cmm3_no_stroke_change_raw[functional],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.06002642842297976,0.037352006692805514,0.08270085015315401,0.015092769430688303,0.10496008741527121,0.00018411265548649245,63.917004904798624,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",361686,130714,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
cmm3_no_stroke_continuous_gee,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm3_no_stroke_change_raw,cmm3_no_stroke_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,6,0.030782699446905766,0.012843859543275323,0.048721539350536205,-0.011404185706922941,0.07296958460073447,0.00018217525997792368,67.37538273888141,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",381072,133569,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
cmm3_no_stroke_continuous_gee,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm3_no_stroke_change_raw,cmm3_no_stroke_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,6,0.09295097199417351,0.07651577736039064,0.10938616662795639,0.0716541361152637,0.11424780787308333,1.795946250162226e-05,47.00728064999157,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",398644,142716,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
cmm3_no_stroke_transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm3_no_stroke_start,cmm3_no_stroke_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,0.9978210072681157,0.9388578723265274,1.060487206735887,0.8536115554196986,1.1663932572421931,0.002599477929365889,79.73614546726489,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",266176,107221,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
cmm3_no_stroke_transition_gee,mental_health,matched_0.20,fixed,False,any_functional,cmm3_no_stroke_start,cmm3_no_stroke_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,1.3176604465189188,1.2419041700129156,1.3980378633420485,1.147829874934469,1.5126188037400228,0.0019393377189980488,68.775077831399,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",266176,107221,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
diabetes_stroke_binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,diabetes_stroke_start,"C(domain, Treatment(reference='cognitive'))[T.functional]:diabetes_stroke_start",survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.4047689140087665,1.2897384522460775,1.5300588257477619,1.1862834475984638,1.6634942565879267,0.002602577691262258,39.41371721798572,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",541426,107480,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,ratio_of_odds_ratios
diabetes_stroke_binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,diabetes_stroke_start,diabetes_stroke_start,survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.1006518165493413,1.0240187000482546,1.183019822993739,0.9464081893539312,1.2800337474893944,0.002169038426309148,53.826158044980986,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",541426,107480,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
diabetes_stroke_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,diabetes_stroke_change_raw,diabetes_stroke_change_raw[cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.0924118201832642,0.04458383709338288,0.14023980327314553,-0.028422624919285572,0.21324626528581397,0.0015479223860497661,81.304182965429,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",375009,132566,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
diabetes_stroke_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,diabetes_stroke_change_raw,diabetes_stroke_change_raw[functional-minus-cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.08787520709287427,0.05878663843452753,0.11696377575122102,0.03819305768655845,0.1375573564991901,0.00019215025254469832,16.3852517920883,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",375009,132566,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
diabetes_stroke_continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,diabetes_stroke_change_raw,diabetes_stroke_change_raw[functional],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.18198661036599084,0.13613131126910447,0.22784190946287722,0.08061517583603761,0.2833580448959441,0.0010148584096569123,73.84468956786309,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",375009,132566,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
diabetes_stroke_continuous_gee,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,diabetes_stroke_change_raw,diabetes_stroke_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,6,0.10048658054621148,0.05557942030601897,0.145393740786404,-0.01134951611071898,0.21232267720314196,0.001317315553744992,79.31051062608046,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",394403,135425,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
diabetes_stroke_continuous_gee,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,diabetes_stroke_change_raw,diabetes_stroke_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,6,0.2972451709606646,0.2213346757388155,0.3731556661825137,0.10558694221587725,0.48890339970545194,0.0038931032119401392,82.15220279602252,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",412381,144500,charls:False;elsa:False;hrs:False;klosa:False;mhas:False;share:False,beta
diabetes_stroke_transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,diabetes_stroke_start,diabetes_stroke_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,1.1006518174051054,1.0240187245076904,1.183019796576057,0.9464082626369393,1.2800336503633118,0.0021690359282748387,53.82616355617721,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",270713,107480,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
diabetes_stroke_transition_gee,mental_health,matched_0.20,fixed,False,any_functional,diabetes_stroke_start,diabetes_stroke_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,6,1.5449085273802499,1.4802985129203166,1.6123385500561458,1.4752426556885305,1.61786425356462,0.0,0.0,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",270713,107480,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,odds_ratio
