cohort,analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,term,estimate,std_error,p_value,n,clusters,converged,covariates_used,estimand,death_handling,mortality_available,paired_intervals
charls,continuous_gee_fixed_unannualised,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0351798183352909,0.0101542931063138,0.0005311656521573,35909,15477,True,,observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0277804018035418,0.0101452057661722,0.0061761694035957,35826,15464,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0337232634653807,0.0199833992425308,0.0914949709993444,8707,6375,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0354434089968335,0.0223111433853484,0.1121514712661267,7200,5544,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_fixed_unannualised,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1779061390544586,0.0112187450139636,1.2389953833456896e-56,58780,21408,True,,observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1674422788865455,0.0114388344624522,1.605988370536136e-48,54868,20616,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1719090777271221,0.0226931777144516,3.5812255453347494e-14,13218,9174,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol",observed_interval_change,not_applicable_to_observed_interval_change,True,
charls,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1634541691641976,0.024266764045094,1.6311823792850564e-11,10986,8054,True,"depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital",observed_interval_change,not_applicable_to_observed_interval_change,True,
elsa,continuous_gee_fixed_unannualised,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0408581240987316,0.0129202078480588,0.001565052995857,45206,11325,True,,observed_interval_change,not_applicable_to_observed_interval_change,False,
elsa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0320957336802104,0.0128687865237115,0.0126285444814051,45148,11323,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,False,
elsa,continuous_gee_fixed_unannualised,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1866720386167178,0.0174478179871505,1.0302040851944664e-26,48376,11923,True,,observed_interval_change,not_applicable_to_observed_interval_change,False,
elsa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.1772649602224048,0.0176018575507094,7.43632261454017e-24,46567,11586,True,"depression,psychiatric",observed_interval_change,not_applicable_to_observed_interval_change,False,
hrs,continuous_gee_fixed_unannualised,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,0.0506650044729491,0.005289782963255,9.903950815006779e-22,154620,30671,True,,observed_interval_change,not_applicable_to_observed_interval_change,True,
