cohort,outcome,n,participants,events,folds,status,reason,estimand,death_handling,mortality_available,bootstrap_iterations_completed,auc_reviewer_base,auc_reviewer_plus_cmm4,brier_reviewer_base,brier_reviewer_plus_cmm4,calibration_intercept_reviewer_base,calibration_intercept_reviewer_plus_cmm4,calibration_slope_reviewer_base,calibration_slope_reviewer_plus_cmm4,auc_expanded_base,auc_expanded_plus_cmm4,brier_expanded_base,brier_expanded_plus_cmm4,calibration_intercept_expanded_base,calibration_intercept_expanded_plus_cmm4,calibration_slope_expanded_base,calibration_slope_expanded_plus_cmm4,delta_auc_reviewer,delta_brier_reviewer,delta_auc_expanded,delta_brier_expanded,auc_reviewer_base_ci_low,auc_reviewer_base_ci_high,auc_reviewer_plus_cmm4_ci_low,auc_reviewer_plus_cmm4_ci_high,brier_reviewer_base_ci_low,brier_reviewer_base_ci_high,brier_reviewer_plus_cmm4_ci_low,brier_reviewer_plus_cmm4_ci_high,calibration_intercept_reviewer_base_ci_low,calibration_intercept_reviewer_base_ci_high,calibration_intercept_reviewer_plus_cmm4_ci_low,calibration_intercept_reviewer_plus_cmm4_ci_high,calibration_slope_reviewer_base_ci_low,calibration_slope_reviewer_base_ci_high,calibration_slope_reviewer_plus_cmm4_ci_low,calibration_slope_reviewer_plus_cmm4_ci_high,auc_expanded_base_ci_low,auc_expanded_base_ci_high,auc_expanded_plus_cmm4_ci_low,auc_expanded_plus_cmm4_ci_high,brier_expanded_base_ci_low,brier_expanded_base_ci_high,brier_expanded_plus_cmm4_ci_low,brier_expanded_plus_cmm4_ci_high,calibration_intercept_expanded_base_ci_low,calibration_intercept_expanded_base_ci_high,calibration_intercept_expanded_plus_cmm4_ci_low,calibration_intercept_expanded_plus_cmm4_ci_high,calibration_slope_expanded_base_ci_low,calibration_slope_expanded_base_ci_high,calibration_slope_expanded_plus_cmm4_ci_low,calibration_slope_expanded_plus_cmm4_ci_high,delta_auc_reviewer_ci_low,delta_auc_reviewer_ci_high,delta_brier_reviewer_ci_low,delta_brier_reviewer_ci_high,delta_auc_expanded_ci_low,delta_auc_expanded_ci_high,delta_brier_expanded_ci_low,delta_brier_expanded_ci_high
charls,any_cognitive,25237,12215,2577,5,estimated,,survivor_conditional_prediction,observed_living_endpoint_survivor_conditional_model,True,200,0.6739496756732875,0.6745218925240286,0.08848499824973133,0.08839802843828186,-0.0001413458876238292,-0.0005504357408471867,0.9882093345811779,0.9843729451303279,0.7798478358183141,0.7797180554713586,0.08179141319297945,0.08173769938230063,-9.745245311332522e-05,-0.0005278488358405037,0.9945437472141552,0.9930649264249805,0.0005722168507411585,-8.696981144946936e-05,-0.0001297803469554326,-5.3713810678812646e-05,0.663879880087721,0.6855793221504667,0.6646349499661345,0.6858745265504911,0.08569047397894636,0.09146441233811213,0.08561105902033347,0.09136570918634751,,,,,,,,,0.7705946124349434,0.7884899569544979,0.7705338508266861,0.7883669048922224,0.07932624833918356,0.08460660063061146,0.07926012743221629,0.08454727593444004,,,,,,,,,-0.0012612259634701083,0.0019375034785373841,-0.00014979304579260734,-1.3873834859263988e-05,-0.0006775680513729038,0.0002958912996331387,-0.00010610959918098267,2.3409576712165486e-05
charls,any_functional,25237,12215,3244,5,estimated,,survivor_conditional_prediction,observed_living_endpoint_survivor_conditional_model,True,200,0.6350820948353537,0.6458334910171788,0.10896816515415532,0.10833366754833575,0.0001375246312122159,7.431325538189902e-05,0.992464135678902,0.9930674654664225,0.6428101030128239,0.6542240516725336,0.10866208682114789,0.10799914023411457,0.00015913069807839766,8.398965789741669e-05,0.9901756624544935,0.9909697493190538,0.01075139618182508,-0.0006344976058195728,0.011413948659709683,-0.0006629465870333223,0.6237754088035736,0.6447654722090719,0.6359085624202993,0.6562696570104759,0.10591484792434526,0.11220083903515202,0.10524507252642598,0.11160146617614117,,,,,,,,,0.6317039254637995,0.6545490695162576,0.6437334998211814,0.6651858349934112,0.10560726562118175,0.11193465535848421,0.10494716560057928,0.11135887028353585,,,,,,,,,0.006333860034674651,0.01552841925508507,-0.0009238072527845774,-0.0003461391965022025,0.0075665996072916825,0.01627240175484113,-0.000994868380067214,-0.00038504615168366514
elsa,any_cognitive,36540,10891,4525,5,estimated,,survivor_conditional_prediction,observed_living_endpoint_survivor_conditional_model,False,200,0.7010215342773545,0.7010976933291801,0.10172346356485487,0.10171364427260768,-0.0001506330227191464,-0.000349165266040765,0.9944746872785382,0.9938785714644299,0.7424869178208073,0.7424410864037316,0.09844268365718856,0.09844265882201648,-0.0001365859043534801,-0.00031332347150087795,0.9961738727959755,0.9957229537401777,7.615905182567495e-05,-9.819292247192912e-06,-4.5831417075703484e-05,-2.4835172071635547e-08,0.692413508937058,0.7105369432112568,0.6924991828568698,0.7107916295265183,0.09951583474347298,0.10428929094126019,0.09951542485179998,0.10427313568992767,,,,,,,,,0.7342859384180406,0.7517598707266636,0.7342953594018812,0.7517705077042257,0.09618043523493353,0.10095774137427545,0.09616196838682078,0.10095105292139206,,,,,,,,,-0.0003322738676151321,0.0005120874780958268,-5.309110811607433e-05,1.9659503014291006e-05,-0.0002627618735291104,0.00017431472827071084,-2.9517791541865817e-05,2.3044217072883487e-05
elsa,any_functional,36540,10891,3021,5,estimated,,survivor_conditional_prediction,observed_living_endpoint_survivor_conditional_model,False,200,0.720006559491438,0.7327898846720688,0.07029980918152383,0.06967758049033372,-0.0002765530274014961,-0.0004091979414965552,0.9979507515968082,0.9974028323252566,0.7233579024416917,0.7353901183516058,0.0701914209116202,0.06957194292722768,-0.0003466873095239881,-0.00047953797253791623,0.9978705877015063,0.9973763088224541,0.012783325180630856,-0.0006222286911901076,0.012032215909914101,-0.0006194779843925191,0.7096133757173837,0.7298238605819363,0.7219521892989392,0.7437451325118533,0.06737830125309341,0.0729756344730642,0.06680831011995653,0.07236469740399841,,,,,,,,,0.7123078148765374,0.7328530252624753,0.72476730297908,0.7456502424468335,0.06727682838725285,0.07285003065921625,0.06669144291867522,0.07225084162909273,,,,,,,,,0.009209241081365394,0.017254966178855274,-0.0008146202787524311,-0.0004110837650738517,0.008480384837811172,0.015952367167316187,-0.0008149358929364223,-0.0004017144276426811
hrs,any_cognitive,98847,24279,9105,5,estimated,,survivor_conditional_prediction,observed_living_endpoint_survivor_conditional_model,True,200,0.7044922964288463,0.7074989109974189,0.07916982812480924,0.07908645399566412,-0.00022996397475280876,-0.00027698161162073717,0.9977281539210774,0.9976432061755511,0.7848767308312017,0.7854378347222744,0.07444440101608335,0.07441559047576746,-0.0002425473202732831,-0.000249060838347855,0.9986050546351748,0.9985059381574479,0.003006614568572652,-8.337412914512232e-05,0.0005611038910726673,-2.8810540315893363e-05,0.6985638298728223,0.7112218077201149,0.7019717609157398,0.7146645655187648,0.07758360814802612,0.0806531006945634,0.0774942536015455,0.08060656009702581,,,,,,,,,0.7804010648574417,0.7900697162847831,0.7810645306899346,0.7906897834597479,0.07308734900006829,0.07574517020241073,0.07307274000929276,0.07572846160903025,,,,,,,,,0.002026755114085424,0.003896257574472703,-0.00014720087601777267,-2.5433722140264303e-05,0.00020351350119431899,0.0009432358070894793,-6.612442611219697e-05,1.690256953759545e-05
hrs,any_functional,98847,24279,8540,5,estimated,,survivor_conditional_prediction,observed_living_endpoint_survivor_conditional_model,True,200,0.6402664989570186,0.6653196853439487,0.07592476605178278,0.0752795719437055,-0.00033106888171297906,-0.00029619730441370073,0.9968748997199759,0.9970167935275652,0.6539256444495123,0.67428446652531,0.07563768074895891,0.07503663997862403,-0.00035703439216294263,-0.00030858623858342636,0.9969339293732254,0.997102050033533,0.025053186386930104,-0.0006451941080772711,0.020358822075797756,-0.0006010407703348764,0.6333530772160377,0.6479079471953167,0.65897229256404,0.6715010068956513,0.07438107395645087,0.07782592597864779,0.073707237778201,0.07720112119350245,,,,,,,,,0.6472004846668229,0.659991679191996,0.667756438458656,0.6804764788417508,0.07408044150763529,0.07758160941535595,0.07344601832614184,0.0769964298848765,,,,,,,,,0.020926473266662304,0.028494170001439945,-0.0007823375734187184,-0.0005302268888285201,0.016527885883951335,0.023463759641715005,-0.0007342773304562587,-0.000492117997077113
klosa,any_cognitive,19876,7023,1743,5,estimated,,survivor_conditional_prediction,observed_living_endpoint_survivor_conditional_model,True,200,0.7631079264232956,0.763351679005692,0.07312411626907231,0.0731694409724915,-0.0007853474507096438,-0.0008544196969049541,0.9956717217112941,0.9925297849165261,0.8105846584769724,0.810395595190873,0.06889093212786092,0.06894274887506974,-0.0007085721422815766,-0.00081544270647684,0.9967238972374651,0.994547352566845,0.00024375258239639486,4.5324703419197254e-05,-0.00018906328609935574,5.181674720881879e-05,0.7522913357128888,0.7744529461784927,0.752415646340124,0.7747040047794264,0.07025735341934339,0.07673452883961997,0.0703319812396161,0.07674637164493056,,,,,,,,,0.7996773379238198,0.8203061909445906,0.7995525284378744,0.8199718566755291,0.06614066773689725,0.07268474502850114,0.06618656851236629,0.07273676119687238,,,,,,,,,-0.0004135659523968771,0.0011112801190259287,-3.828723126721514e-05,0.00011573943911770517,-0.00047802437796543306,0.00017454269145890657,3.3754052471031428e-06,0.00010491479732179757
klosa,any_functional,19876,7023,797,5,estimated,,survivor_conditional_prediction,observed_living_endpoint_survivor_conditional_model,True,200,0.7275838103775473,0.7323945218070042,0.03724540224624113,0.03715060481492243,-0.0005695645298907259,-0.0006846088072813132,0.9893604776852226,0.9882394147175971,0.7287823533438824,0.7333730195187244,0.03718851451512133,0.03709836644145547,-0.0006041334557529525,-0.0007567643632036497,0.9873359258245945,0.9863032265724169,0.004810711429456882,-9.479743131869667e-05,0.00459066617484194,-9.01480736658633e-05,0.7118103154055665,0.745096702723964,0.7166000265533412,0.7501277035862259,0.03501593149665782,0.03939998183754709,0.0349175099099365,0.03933344425191496,,,,,,,,,0.7128905710872576,0.7461534093529856,0.7167508776950697,0.7511232460952535,0.034960205738760845,0.03940228102498485,0.034861976013117746,0.03934134392796484,,,,,,,,,0.0006822112339303413,0.009303726351220308,-0.00019943707532982594,-9.869845400214754e-06,0.0005377443359041419,0.009171911684706859,-0.00018814970048794746,-1.5570552740742997e-06
mhas,any_cognitive,14108,9298,1613,5,estimated,,survivor_conditional_prediction,observed_living_endpoint_survivor_conditional_model,True,200,0.748307977871868,0.748100132799555,0.09179185958893962,0.09181783231507368,-0.00016845411708293643,-0.0005213954028025529,0.9946050437219726,0.9927180484857447,0.835326988824048,0.8352165912862355,0.08279860672314196,0.0828132430991234,-0.0004746454983672021,-0.0007384578036468196,0.9953063594256729,0.9944481889414621,-0.00020784507231297322,2.597272613405477e-05,-0.00011039753781250106,1.4636375981438854e-05,0.738812198758769,0.7618653011964223,0.7386272758871352,0.7616359353718407,0.08773482362945333,0.09477681178879037,0.08777521254526377,0.09479085471963442,,,,,,,,,0.8270569754103371,0.8458121583708078,0.8268617271688177,0.8458081584856307,0.07943555065232923,0.08558362068940222,0.0794596739164146,0.0855784387892425,,,,,,,,,-0.0004871546091745893,4.058502876034544e-05,4.774328726362201e-06,4.835056307289886e-05,-0.0002670963975126478,5.1294860032052885e-05,-2.09707029550886e-05,4.9847475846198306e-05
mhas,any_functional,14108,9298,1678,5,estimated,,survivor_conditional_prediction,observed_living_endpoint_survivor_conditional_model,True,200,0.6551374946422253,0.6791828998050585,0.10114768888323472,0.0998929066050457,-9.526850133993055e-06,0.00010111235986717716,0.9805993879960746,0.9828465454443579,0.6598623087861751,0.682023719000419,0.10087506825271635,0.09962665729799534,3.7261582382367505e-05,0.00016241862156402993,0.9817751200852183,0.9836436778168615,0.024045405162833267,-0.0012547822781890233,0.022161410214243893,-0.001248410954721002,0.6379928803439298,0.6674886248487535,0.6650235591756507,0.6911305302046392,0.09697778662443163,0.10465057955209398,0.09599786899760956,0.10325651972173795,,,,,,,,,0.6427615275204531,0.6734730084083494,0.6678454700514969,0.6944586338290551,0.09663100183381346,0.10453277907892307,0.09567343489109856,0.10323262726652073,,,,,,,,,0.016898246228730932,0.0317705250930376,-0.001737895144459797,-0.0007746129543483397,0.01560696830130955,0.029088340382003062,-0.0017235979322273662,-0.0007557102272636218
