cohort,mortality_available,wave,domain,scale,metric_type,rows,death_endpoint_rows_excluded,observed_n,missing_percent,mean,sd,skewness,minimum,p05,p25,median,p75,p95,maximum,zero_percent,observed_floor_percent,observed_ceiling_percent
charls,True,1,cognition,source_metric,fixed_reference_item_z_mean,17708,0,12404,29.95256381296589,0.11024669981754764,0.6558779909043289,-0.6402231537359172,-2.0964652669086146,-1.119592214284385,-0.29660016734394246,0.2355265468657144,0.6132980973943274,0.9836075049268886,1.5761025569789864,0.0,0.016123831022250887,0.016123831022250887
charls,True,1,cognition,z_fixed,z_fixed,17708,0,12404,29.95256381296589,1.1456671005483718e-17,1.0,-0.6402231537359172,-3.364515957737099,-1.8751031916869523,-0.6203087659650341,0.19101090261533257,0.7669892945838436,1.331590352506181,2.2349520451819203,0.0,0.016123831022250887,0.016123831022250887
charls,True,1,cognition,z_wave,z_wave,17708,0,12404,29.95256381296589,-1.1456671005483718e-17,1.0000000000000018,-0.6402231537359175,-3.364515957737105,-1.8751031916869556,-0.6203087659650353,0.19101090261533293,0.766989294583845,1.3315903525061834,2.2349520451819243,0.0,0.016123831022250887,0.016123831022250887
charls,True,1,function,source_metric,fixed_reference_item_z_mean,17708,0,17248,2.5976959566297717,1.7772256587263605e-05,0.9165634775918046,3.0999934024648246,-0.3909562059955536,-0.3909562059955536,-0.3909562059955536,-0.3909562059955536,0.05883837367085637,1.9649702031530896,4.770691191968142,0.0,72.9301948051948,0.701530612244898
charls,True,1,function,z_fixed,z_fixed,17708,0,17248,2.5976959566297717,2.471739572449328e-17,1.0,3.0999934024648255,-0.42656508557311595,-0.42656508557311595,-0.42656508557311595,-0.42656508557311595,0.06417515300611303,2.143825800324549,5.204956924801443,0.0,72.9301948051948,0.701530612244898
charls,True,1,function,z_wave,z_wave,17708,0,17248,2.5976959566297717,3.295652763265771e-18,1.0000000000000016,3.099993402464826,-0.4265650855731167,-0.4265650855731167,-0.4265650855731167,-0.4265650855731167,0.06417515300611312,2.1438258003245525,5.204956924801452,0.0,72.9301948051948,0.701530612244898
charls,True,2,cognition,source_metric,fixed_reference_item_z_mean,18612,0,13374,28.1431334622824,0.1437360365431822,0.6446103882789332,-0.7004553847612625,-2.0964652669086146,-1.1112355338218716,-0.27539915059011383,0.24298868986176636,0.6132980973943274,0.9836075049268886,1.5761025569789864,0.0,0.0598175564528189,0.04486316733961417
charls,True,2,cognition,z_fixed,z_fixed,18612,0,13374,28.1431334622824,0.05106031486048074,0.9828205812946097,-0.7004553847612622,-3.364515957737099,-1.8623619797871729,-0.5879841308227625,0.2023882366615065,0.7669892945838436,1.331590352506181,2.2349520451819203,0.0,0.0598175564528189,0.04486316733961417
charls,True,2,cognition,z_wave,z_wave,18612,0,13374,28.1431334622824,-3.187719765635263e-17,0.9999999999999982,-0.7004553847612622,-3.4752795551945432,-1.9468683613922853,-0.6502147572464017,0.15397308998320977,0.7284432106420806,1.3029133313009518,2.2220655243551457,0.0,0.0598175564528189,0.04486316733961417
charls,True,2,function,source_metric,fixed_reference_item_z_mean,18612,0,17896,3.846980442725124,-0.02846273389413118,0.8562099434067835,3.198919676491038,-0.3909562059955536,-0.3909562059955536,-0.3909562059955536,-0.3909562059955536,0.05883837367085637,1.9293190328808918,4.770691191968142,0.0,73.32364774251229,0.4693786320965579
charls,True,2,function,z_fixed,z_fixed,18612,0,17896,3.846980442725124,-0.031073140973878446,0.9341523684277765,3.198919676491037,-0.42656508557311595,-0.42656508557311595,-0.42656508557311595,-0.42656508557311595,0.06417515300611303,2.104929235990709,5.204956924801443,0.0,73.32364774251229,0.4693786320965579
charls,True,2,function,z_wave,z_wave,18612,0,17896,3.846980442725124,-2.3028318436570077e-17,1.0000000000000004,3.1989196764910384,-0.42336984625417134,-0.42336984625417134,-0.42336984625417134,-0.42336984625417134,0.10196226782607107,2.2865674264248605,5.605113515461954,0.0,73.32364774251229,0.4693786320965579
charls,True,3,cognition,source_metric,fixed_reference_item_z_mean,21097,0,16389,22.31596909513201,0.11495809133676743,0.6506403207200959,-0.7378488753985618,-2.0964652669086146,-1.1827970861583905,-0.2865923650841918,0.2355265468657144,0.6095670258963015,0.9836075049268886,1.5761025569789864,0.0,0.12203307096223077,0.030508267740557694
charls,True,3,cognition,z_fixed,z_fixed,21097,0,16389,22.31596909513201,0.007183335291863819,0.9920142614070474,-0.7378488753985618,-3.364515957737099,-1.9714700049518064,-0.6050501318920233,0.19101090261533257,0.7613006275607568,1.331590352506181,2.2349520451819203,0.0,0.12203307096223077,0.030508267740557694
charls,True,3,cognition,z_wave,z_wave,21097,0,16389,22.31596909513201,-1.1272262572312285e-17,1.000000000000001,-0.7378488753985619,-3.3988415531916196,-1.9945815470809882,-0.617161961276153,0.1853073836486309,0.7601879545554852,1.3350685254623393,2.245702301426846,0.0,0.12203307096223077,0.030508267740557694
charls,True,3,function,source_metric,fixed_reference_item_z_mean,21097,0,19841,5.953453097596815,0.011328993686803698,0.9022395930652646,2.982625127779756,-0.3909562059955536,-0.3909562059955536,-0.3909562059955536,-0.3909562059955536,0.05883837367085637,1.9649702031530896,4.770691191968142,0.0,71.05488634645431,0.5040068544932211
charls,True,3,function,z_fixed,z_fixed,21097,0,19841,5.953453097596815,0.012340903501780113,0.9843721849312884,2.9826251277797557,-0.42656508557311595,-0.42656508557311595,-0.42656508557311595,-0.42656508557311595,0.06417515300611303,2.143825800324549,5.204956924801443,0.0,71.05488634645431,0.5040068544932211
charls,True,3,function,z_wave,z_wave,21097,0,19841,5.953453097596815,0.0,1.0000000000000004,2.982625127779756,-0.4458740258955336,-0.4458740258955336,-0.4458740258955336,-0.4458740258955336,0.052657165955934775,2.165324182714034,5.27505358317507,0.0,71.05488634645431,0.5040068544932211
charls,True,4,cognition,source_metric,fixed_reference_item_z_mean,19816,0,12139,38.74142107387969,0.17291944693584174,0.6511918410545042,-0.6254313966720865,-2.0964652669086146,-1.0496817837451036,-0.22249295574372485,0.2430340199554717,0.6811285782328202,1.0576693864334008,1.5761025569789864,0.0,0.057665376060631025,0.008237910865804433
charls,True,4,cognition,z_fixed,z_fixed,19816,0,12139,38.74142107387969,0.09555549658234527,0.992855150020565,-0.6254313966720862,-3.364515957737099,-1.7685125886955502,-0.5073194407735635,0.20245735026850958,0.8704086527253901,1.4445105640906484,2.2349520451819203,0.0,0.057665376060631025,0.008237910865804433
charls,True,4,cognition,z_wave,z_wave,19816,0,12139,38.74142107387969,8.194742812951151e-18,0.9999999999999999,-0.6254313966720862,-3.48497104965188,-1.8774824154754952,-0.6072133859036954,0.1076711478849156,0.7804292057376098,1.358662507295613,2.1547922157177326,0.0,0.057665376060631025,0.008237910865804433
charls,True,4,function,source_metric,fixed_reference_item_z_mean,19816,0,19454,1.8268066209123939,0.05557849776640583,0.9726259936344521,2.7978871898657443,-0.3909562059955536,-0.3909562059955536,-0.3909562059955536,-0.3909562059955536,0.05883837367085637,2.379113612547302,4.770691191968142,0.0,70.29402693533463,0.7402076693739077
charls,True,4,function,z_fixed,z_fixed,19816,0,19454,1.8268066209123939,0.06061852437738392,1.061165993859964,2.797887189865744,-0.42656508557311595,-0.42656508557311595,-0.42656508557311595,-0.42656508557311595,0.06417515300611303,2.5956694745699385,5.204956924801443,0.0,70.29402693533463,0.7402076693739077
charls,True,4,function,z_wave,z_wave,19816,0,19454,1.8268066209123939,3.360230887731532e-17,0.9999999999999984,2.797887189865744,-0.45910216947150856,-0.45910216947150856,-0.45910216947150856,-0.45910216947150856,0.003351623260930138,2.3889296913589995,4.847816863892945,0.0,70.29402693533463,0.7402076693739077
charls,True,5,cognition,source_metric,fixed_reference_item_z_mean,19395,0,13195,31.96700180458881,0.06627096734469644,0.610405685559032,-0.41360671340215566,-2.0964652669086146,-1.0371736523153592,-0.3028315680119618,0.09491025694244726,0.5292964087686225,0.9836075049268886,1.5761025569789864,0.0,0.037893141341417205,0.007578628268283441
charls,True,5,cognition,z_fixed,z_fixed,19395,0,13195,31.96700180458881,-0.06704864789290639,0.9306695666329656,-0.41360671340215577,-3.364515957737099,-1.749441768202705,-0.6298096194079549,-0.023383072900425274,0.63891411933687,1.331590352506181,2.2349520451819203,0.0,0.037893141341417205,0.007578628268283441
charls,True,5,cognition,z_wave,z_wave,19395,0,13195,31.96700180458881,1.9385781346997808e-17,1.0,-0.4136067134021559,-3.543112859888581,-1.80772336458413,-0.604683973444023,0.04691845157294351,0.7585536183200365,1.5028309193123945,2.473488739298899,0.0,0.037893141341417205,0.007578628268283441
charls,True,5,function,source_metric,fixed_reference_item_z_mean,19395,0,19347,0.24748646558391338,0.07057218388038548,0.995653666048224,2.7756697633614484,-0.3909562059955536,-0.3909562059955536,-0.3909562059955536,-0.3909562059955536,0.094489543943054,2.4147647828195,4.770691191968142,0.0,69.2200341138161,0.8528454023879672
charls,True,5,function,z_fixed,z_fixed,19395,0,19347,0.24748646558391338,0.07697711435019662,1.0862899192363877,2.775669763361449,-0.42656508557311595,-0.42656508557311595,-0.42656508557311595,-0.42656508557311595,0.1030717173399529,2.6345660389037784,5.204956924801443,0.0,69.2200341138161,0.8528454023879672
charls,True,5,function,z_wave,z_wave,19395,0,19347,0.24748646558391338,-1.762859942961948e-17,1.0,2.7756697633614476,-0.46354310300263096,-0.46354310300263096,-0.46354310300263096,-0.46354310300263096,0.02402176668278354,2.354425719380191,4.720636470654152,0.0,69.2200341138161,0.8528454023879672
charls,True,death,cognition,source_metric,source_metric,0,2829,0,,,,,,,,,,,,,,
charls,True,death,cognition,z_fixed,z_fixed,0,2829,0,,,,,,,,,,,,,,
charls,True,death,cognition,z_wave,z_wave,0,2829,0,,,,,,,,,,,,,,
charls,True,death,function,source_metric,source_metric,0,2829,0,,,,,,,,,,,,,,
charls,True,death,function,z_fixed,z_fixed,0,2829,0,,,,,,,,,,,,,,
charls,True,death,function,z_wave,z_wave,0,2829,0,,,,,,,,,,,,,,
elsa,False,1,cognition,source_metric,fixed_reference_item_z_mean,12099,0,11701,3.289528060170262,0.0041166703671793375,0.7814256357790984,-1.4880730744343653,-4.536480601449531,-1.3949664210897494,-0.39424311199879275,0.163133900348853,0.5811666596095874,0.9991994188703217,1.6959206843048789,0.0,0.13674044953422784,0.09400905905478164
elsa,False,1,cognition,z_fixed,z_fixed,12099,0,11701,3.289528060170262,2.4289983275279043e-18,1.0,-1.4880730744343649,-5.810658191792794,-1.7904238450815764,-0.5097859145212182,0.20349630559935497,0.7384579706897849,1.273419635780215,2.1650224109309315,0.0,0.13674044953422784,0.09400905905478164
elsa,False,1,cognition,z_wave,z_wave,12099,0,11701,3.289528060170262,2.4289983275279043e-18,0.9999999999999992,-1.4880730744343644,-5.810658191792789,-1.7904238450815748,-0.5097859145212178,0.2034963055993548,0.7384579706897844,1.2734196357802139,2.1650224109309297,0.0,0.13674044953422784,0.09400905905478164
elsa,False,1,function,source_metric,fixed_reference_item_z_mean,12099,0,11908,1.5786428630465328,-1.1933871947599935e-18,0.9106072344336396,2.901934824817242,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,0.09371527878209163,2.1383155508855545,6.237777945218442,0.0,72.10278804165267,0.03359086328518643
elsa,False,1,function,z_fixed,z_fixed,12099,0,11908,1.5786428630465328,-4.0575164621839785e-17,1.0,2.901934824817241,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,0.1029151485276511,2.3482303566537106,6.850130011429224,0.0,72.10278804165267,0.03359086328518643
elsa,False,1,function,z_wave,z_wave,12099,0,11908,1.5786428630465328,0.0,0.9999999999999976,2.9019348248172423,-0.4527790342421654,-0.4527790342421654,-0.4527790342421654,-0.4527790342421654,0.10291514852765092,2.3482303566537053,6.850130011429209,0.0,72.10278804165267,0.03359086328518643
elsa,False,2,cognition,source_metric,fixed_reference_item_z_mean,9432,0,9225,2.1946564885496183,0.08216929058531927,0.7912473838691491,-1.6626182513044954,-4.536480601449531,-1.2809357054854145,-0.2548988589118813,0.30247815343576445,0.5811666596095874,0.9991994188703217,1.6959206843048789,0.0,0.14092140921409213,0.0975609756097561
elsa,False,2,cognition,z_fixed,z_fixed,9432,0,9225,2.1946564885496183,0.09988489837592769,1.0125690118679793,-1.6626182513044956,-5.810658191792794,-1.6444973354007877,-0.3314653594910749,0.3818168606294983,0.7384579706897849,1.273419635780215,2.1650224109309315,0.0,0.14092140921409213,0.0975609756097561
elsa,False,2,cognition,z_wave,z_wave,9432,0,9225,2.1946564885496183,-2.926896906112066e-17,0.9999999999999998,-1.662618251304495,-5.837175561263718,-1.7227292296440049,-0.42599591021578964,0.2784323428320848,0.6306464693560221,1.158967659141928,2.039502975451771,0.0,0.14092140921409213,0.0975609756097561
elsa,False,2,function,source_metric,fixed_reference_item_z_mean,9432,0,9429,0.031806615776081425,0.03207448053633564,0.982306462809127,3.040584627752285,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,0.09371527878209163,2.148577401011515,6.237777945218442,0.0,70.8240534521158,0.2545338848234171
elsa,False,2,function,z_fixed,z_fixed,9432,0,9429,0.031806615776081425,0.03522317781308274,1.0787378198462059,3.0405846277522843,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,0.1029151485276511,2.3594995951771045,6.850130011429224,0.0,70.8240534521158,0.2545338848234171
elsa,False,2,function,z_wave,z_wave,9432,0,9429,0.031806615776081425,1.318750437565145e-17,0.9999999999999992,3.0405846277522848,-0.4523825929499929,-0.4523825929499929,-0.4523825929499929,-0.4523825929499929,0.06275108693622986,2.1546258735003736,6.317482068615828,0.0,70.8240534521158,0.2545338848234171
elsa,False,3,cognition,source_metric,fixed_reference_item_z_mean,9766,0,9469,3.0411632193323777,0.13175450976312258,0.8115951293028293,-1.7170438734114557,-4.536480601449531,-1.3949664210897494,-0.2548988589118813,0.30247815343576445,0.5811666596095874,1.138543671957233,1.6959206843048789,0.0,0.1267293272784877,0.16897243637131693
elsa,False,3,cognition,z_fixed,z_fixed,9766,0,9469,3.0411632193323777,0.16333971340559558,1.0386082720381336,-1.7170438734114564,-5.810658191792794,-1.7904238450815764,-0.3314653594910749,0.3818168606294983,0.7384579706897849,1.4517401908103582,2.1650224109309315,0.0,0.1267293272784877,0.16897243637131693
elsa,False,3,cognition,z_wave,z_wave,9766,0,9469,3.0411632193323777,3.001553430183125e-17,0.9999999999999994,-1.7170438734114553,-5.751925982136838,-1.8811361425546553,-0.4764116425971455,0.21035567798354773,0.5537393382738944,1.2405066588545877,1.9272739794352811,0.0,0.1267293272784877,0.16897243637131693
elsa,False,3,function,source_metric,fixed_reference_item_z_mean,9766,0,9762,0.040958427196395655,0.01360821657377632,1.0135613538440158,3.2584988524804754,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,0.09371527878209163,2.148577401011515,6.237777945218442,0.0,73.80659700880967,0.2868264699856587
elsa,False,3,function,z_fixed,z_fixed,9766,0,9762,0.040958427196395655,0.014944112081692424,1.1130609504485318,3.2584988524804763,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,0.1029151485276511,2.3594995951771045,6.850130011429224,0.0,73.80659700880967,0.2868264699856587
elsa,False,3,function,z_wave,z_wave,9766,0,9762,0.040958427196395655,2.3291710248231106e-17,1.0000000000000009,3.2584988524804754,-0.42021341790436567,-0.42021341790436567,-0.42021341790436567,-0.42021341790436567,0.07903523738795161,2.10640350121943,6.14089093377425,0.0,73.80659700880967,0.2868264699856587
elsa,False,4,cognition,source_metric,fixed_reference_item_z_mean,11050,0,10538,4.633484162895927,0.1543109522184648,0.7897079678389817,-1.7234331928671822,-4.536480601449531,-1.2556221680028379,-0.14086814330754632,0.30247815343576445,0.7205109126964988,1.138543671957233,1.6959206843048789,0.0,0.14234200037957867,0.2467261339912697
elsa,False,4,cognition,z_fixed,z_fixed,11050,0,10538,4.633484162895927,0.19220547032800955,1.0105990022347113,-1.7234331928671827,-5.810658191792794,-1.612103290051433,-0.18553884981028634,0.3818168606294983,0.9167785257199282,1.4517401908103582,2.1650224109309315,0.0,0.14234200037957867,0.2467261339912697
elsa,False,4,cognition,z_wave,z_wave,11050,0,10538,4.633484162895927,1.0788274598748911e-17,1.0000000000000002,-1.7234331928671818,-5.93990657901584,-1.7853854559420919,-0.3737825975515509,0.18762277607854957,0.7169738479750024,1.2463249198714552,1.9521263490667256,0.0,0.14234200037957867,0.2467261339912697
elsa,False,4,function,source_metric,fixed_reference_item_z_mean,11050,0,11041,0.08144796380090498,-0.025933634806227582,0.947268829672175,3.577027994581758,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,0.10397712890805252,1.8347040651078235,6.237777945218442,0.0,74.55846390725478,0.38040032605742236
elsa,False,4,function,z_fixed,z_fixed,11050,0,11041,0.08144796380090498,-0.028479495687685024,1.0402606017745262,3.5770279945817585,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,0.11418438705104517,2.01481384699182,6.850130011429224,0.0,74.55846390725478,0.38040032605742236
elsa,False,4,function,z_wave,z_wave,11050,0,11041,0.08144796380090498,2.0593576256066666e-17,1.0,3.577027994581758,-0.40787811999290474,-0.40787811999290474,-0.40787811999290474,-0.40787811999290474,0.13714244535971787,1.9642129474037155,6.612390679203892,0.0,74.55846390725478,0.38040032605742236
elsa,False,5,cognition,source_metric,fixed_reference_item_z_mean,10274,0,9660,5.976250729998053,0.16905967109078882,0.7997056183896917,-1.8071616084114919,-4.536480601449531,-1.141591452398503,-0.14086814330754632,0.30247815343576445,0.7205109126964988,1.138543671957233,1.6959206843048789,0.0,0.2484472049689441,0.3105590062111801
elsa,False,5,cognition,z_fixed,z_fixed,10274,0,9660,5.976250729998053,0.21107958732267307,1.0233931186457272,-1.807161608411492,-5.810658191792794,-1.4661767803706443,-0.18553884981028634,0.3818168606294983,0.9167785257199282,1.4517401908103582,2.1650224109309315,0.0,0.2484472049689441,0.3105590062111801
elsa,False,5,cognition,z_wave,z_wave,10274,0,9660,5.976250729998053,3.530647134211678e-17,0.9999999999999984,-1.8071616084114923,-5.8840905507398,-1.6389169881392747,-0.38755237836444556,0.16683449419003754,0.6895677971052973,1.2123011000205568,1.9092788372409029,0.0,0.2484472049689441,0.3105590062111801
elsa,False,5,function,source_metric,fixed_reference_item_z_mean,10274,0,10266,0.07786645902277595,0.01832816782998094,1.0285356951475868,3.338867156725651,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,0.09371527878209163,2.148577401011515,6.237777945218442,0.0,73.52425482174168,0.4285992596921878
elsa,False,5,function,z_fixed,z_fixed,10274,0,10266,0.07786645902277595,0.02012741293602864,1.1295052974044226,3.3388671567256516,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,0.1029151485276511,2.3594995951771045,6.850130011429224,0.0,73.52425482174168,0.4285992596921878
elsa,False,5,function,z_wave,z_wave,10274,0,10266,0.07786645902277595,-1.1074112382779663e-17,1.0000000000000007,3.3388671567256507,-0.41868457657075514,-0.41868457657075514,-0.41868457657075514,-0.41868457657075514,0.07329557088564953,2.0711475967548814,6.046897357797604,0.0,73.52425482174168,0.4285992596921878
elsa,False,6,cognition,source_metric,fixed_reference_item_z_mean,10601,0,9904,6.574851429110461,0.2171272270825699,0.803862076364388,-2.018247974683929,-4.536480601449531,-1.1162779149159263,-0.11555460582496985,0.30247815343576445,0.7205109126964988,1.138543671957233,1.6959206843048789,0.0,0.26252019386106623,0.3331987075928917
elsa,False,6,cognition,z_fixed,z_fixed,10601,0,9904,6.574851429110461,0.27259223010135114,1.0287121890529225,-2.018247974683928,-5.810658191792794,-1.4337827350212895,-0.1531448044609316,0.3818168606294983,0.9167785257199282,1.4517401908103582,2.1650224109309315,0.0,0.26252019386106623,0.3331987075928917
elsa,False,6,cognition,z_wave,z_wave,10601,0,9904,6.574851429110461,0.0,1.0000000000000002,-2.0182479746839292,-5.913461983467558,-1.6587486600052876,-0.41385436966022054,0.1061760827668468,0.6262065351939142,1.1462369876209815,1.8396109241904048,0.0,0.26252019386106623,0.3331987075928917
elsa,False,6,function,source_metric,fixed_reference_item_z_mean,10601,0,10596,0.047165361758324684,0.011015505065460332,1.040585950976215,3.399955214576943,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,0.09371527878209163,2.148577401011515,6.237777945218442,0.0,74.53756134390336,0.4530011325028313
elsa,False,6,function,z_fixed,z_fixed,10601,0,10596,0.047165361758324684,0.012096878488244686,1.1427385063807636,3.399955214576942,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,0.1029151485276511,2.3594995951771045,6.850130011429224,0.0,74.53756134390336,0.4530011325028313
elsa,False,6,function,z_wave,z_wave,10601,0,10596,0.047165361758324684,1.0729222133032845e-17,1.0000000000000029,3.399955214576942,-0.4068086531911393,-0.4068086531911393,-0.4068086531911393,-0.4068086531911393,0.07947423625991455,2.054190616297221,5.983900161549775,0.0,74.53756134390336,0.4530011325028313
elsa,False,7,cognition,source_metric,fixed_reference_item_z_mean,9666,0,8911,7.810883509207532,0.20533523885133145,0.7867745103077464,-1.868339985022056,-4.536480601449531,-1.1162779149159263,-0.11555460582496985,0.30247815343576445,0.7205109126964988,1.138543671957233,1.6959206843048789,0.0,0.15710919088766695,0.41521714734597687
elsa,False,7,cognition,z_fixed,z_fixed,9666,0,8911,7.810883509207532,0.25750187768479443,1.0068450205416093,-1.8683399850220554,-5.810658191792794,-1.4337827350212895,-0.1531448044609316,0.3818168606294983,0.9167785257199282,1.4517401908103582,2.1650224109309315,0.0,0.15710919088766695,0.41521714734597687
elsa,False,7,cognition,z_wave,z_wave,9666,0,8911,7.810883509207532,5.103213454005882e-17,0.9999999999999973,-1.8683399850220548,-6.026905775640967,-1.679786440018635,-0.4078549069297944,0.12346982942601349,0.6547945657818215,1.1861193021376293,1.8945522839453732,0.0,0.15710919088766695,0.41521714734597687
elsa,False,7,function,source_metric,fixed_reference_item_z_mean,9666,0,9664,0.02069108214359611,0.0030775149428226,1.039890152107316,3.3687724235153187,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,-0.41230386418079346,2.148577401011515,6.237777945218442,0.0,75.83816225165563,0.4346026490066225
elsa,False,7,function,z_fixed,z_fixed,9666,0,9664,0.02069108214359611,0.003379629357696294,1.1419744021186973,3.368772423515319,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,-0.45277903424216653,2.3594995951771045,6.850130011429224,0.0,75.83816225165563,0.4346026490066225
elsa,False,7,function,z_wave,z_wave,9666,0,9664,0.02069108214359611,2.352790515761921e-17,1.000000000000001,3.3687724235153187,-0.3994473630525826,-0.3994473630525826,-0.3994473630525826,-0.3994473630525826,-0.3994473630525826,2.063198580850952,5.995537526383083,0.0,75.83816225165563,0.4346026490066225
elsa,False,8,cognition,source_metric,fixed_reference_item_z_mean,8445,0,7846,7.09295441089402,0.20285006696831173,0.819377754977329,-1.914508268925417,-4.536480601449531,-1.2556221680028379,-0.11555460582496985,0.30247815343576445,0.7205109126964988,1.138543671957233,1.6959206843048789,0.0,0.16568952332398676,0.49706856997196025
elsa,False,8,cognition,z_fixed,z_fixed,8445,0,7846,7.09295441089402,0.2543215726509802,1.048567793863573,-1.9145082689254163,-5.810658191792794,-1.612103290051433,-0.1531448044609316,0.3818168606294983,0.9167785257199282,1.4517401908103582,2.1650224109309315,0.0,0.16568952332398676,0.49706856997196025
elsa,False,8,cognition,z_wave,z_wave,8445,0,7846,7.09295441089402,-2.897956607739384e-17,0.9999999999999987,-1.914508268925417,-5.7840606968259305,-1.7799753851158693,-0.3885932597744137,0.12158993316850437,0.6317731261114226,1.1419563190543405,1.8222005763115647,0.0,0.16568952332398676,0.49706856997196025
