cohort,mortality_available,standardization,state_definition,persistent,state_from,origin_intervals,origin_percent
charls,True,fixed,legacy,False,cognitive_only,7479,19.131791670930113
charls,True,fixed,legacy,False,functional_only,2419,6.187966847436816
charls,True,fixed,legacy,False,joint,1766,4.517548347487977
charls,True,fixed,legacy,False,unimpaired,27428,70.16269313414509
elsa,False,fixed,legacy,False,cognitive_only,8868,13.97019439805917
elsa,False,fixed,legacy,False,functional_only,5736,9.036201518636378
elsa,False,fixed,legacy,False,joint,2760,4.347963073820852
elsa,False,fixed,legacy,False,unimpaired,46114,72.6456410094836
hrs,True,fixed,legacy,False,cognitive_only,35508,24.138517073303376
hrs,True,fixed,legacy,False,functional_only,7339,4.989089129237734
hrs,True,fixed,legacy,False,joint,9308,6.327625237082005
hrs,True,fixed,legacy,False,unimpaired,94946,64.54476856037688
klosa,True,fixed,legacy,False,cognitive_only,5203,18.902815622161672
klosa,True,fixed,legacy,False,functional_only,659,2.394187102633969
klosa,True,fixed,legacy,False,joint,1415,5.14078110808356
klosa,True,fixed,legacy,False,unimpaired,20248,73.5622161671208
mhas,True,fixed,legacy,False,cognitive_only,11969,28.831237654767065
mhas,True,fixed,legacy,False,functional_only,1900,4.576769282651636
mhas,True,fixed,legacy,False,joint,2743,6.607409548586019
mhas,True,fixed,legacy,False,unimpaired,24902,59.984583513995275
share,True,fixed,legacy,False,cognitive_only,23582,21.98972407940993
share,True,fixed,legacy,False,functional_only,3649,3.4026165365858208
share,True,fixed,legacy,False,joint,5248,4.893650749247023
share,True,fixed,legacy,False,unimpaired,74762,69.71400863475723
charls,True,fixed,legacy,True,cognitive_only,3303,15.15693832599119
charls,True,fixed,legacy,True,functional_only,1259,5.777349486049927
charls,True,fixed,legacy,True,joint,641,2.941446402349486
charls,True,fixed,legacy,True,unimpaired,16589,76.1242657856094
elsa,False,fixed,legacy,True,cognitive_only,6309,13.10334801030157
elsa,False,fixed,legacy,True,functional_only,4122,8.561103264933124
elsa,False,fixed,legacy,True,joint,1686,3.50170308216333
elsa,False,fixed,legacy,True,unimpaired,36031,74.83384564260197
hrs,True,fixed,legacy,True,cognitive_only,23875,22.342317050346246
hrs,True,fixed,legacy,True,functional_only,4590,4.295339696799551
hrs,True,fixed,legacy,True,joint,4416,4.132509825940483
hrs,True,fixed,legacy,True,unimpaired,73979,69.22983342691371
klosa,True,fixed,legacy,True,cognitive_only,3166,17.77253845290221
klosa,True,fixed,legacy,True,functional_only,367,2.060177388570787
klosa,True,fixed,legacy,True,joint,525,2.9471202425058944
klosa,True,fixed,legacy,True,unimpaired,13756,77.22016391602111
mhas,True,fixed,legacy,True,cognitive_only,5157,25.71685034658156
mhas,True,fixed,legacy,True,functional_only,801,3.9944148007779385
mhas,True,fixed,legacy,True,joint,586,2.9222560215429114
mhas,True,fixed,legacy,True,unimpaired,13509,67.3664788310976
share,True,fixed,legacy,True,cognitive_only,8423,20.14156244769124
share,True,fixed,legacy,True,functional_only,1101,2.632774576149597
share,True,fixed,legacy,True,joint,947,2.2645209115473826
share,True,fixed,legacy,True,unimpaired,31348,74.96114206461178
charls,True,fixed,strict,False,cognitive_only,6101,15.606773764453084
charls,True,fixed,strict,False,functional_only,1534,3.9240765373989563
charls,True,fixed,strict,False,joint,929,2.3764453085030186
charls,True,fixed,strict,False,unimpaired,30528,78.09270438964494
elsa,False,fixed,strict,False,cognitive_only,7373,11.615047733072876
elsa,False,fixed,strict,False,functional_only,4741,7.4687293235451655
elsa,False,fixed,strict,False,joint,1911,3.0104918239390024
elsa,False,fixed,strict,False,unimpaired,49453,77.90573111944296
hrs,True,fixed,strict,False,cognitive_only,28954,19.683074894120367
