cohort,analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,reason,n,clusters,events,non_events,exposure_levels,mortality_available
charls,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: polypharmacy,35909,15477,,,4,True
charls,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: polypharmacy,58780,21408,,,5,True
elsa,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: bmi,45206,11325,,,4,False
elsa,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: bmi,45206,11325,,,4,False
elsa,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,"required covariates unavailable: bmi,polypharmacy",45206,11325,,,4,False
elsa,continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: bmi,48376,11923,,,4,False
elsa,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: bmi,48376,11923,,,4,False
elsa,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,"required covariates unavailable: bmi,polypharmacy",48376,11923,,,4,False
hrs,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: wealth,154620,30671,,,5,True
hrs,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,"required covariates unavailable: wealth,polypharmacy",154620,30671,,,5,True
hrs,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: wealth,147664,30958,,,5,True
hrs,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,"required covariates unavailable: wealth,polypharmacy",147664,30958,,,5,True
klosa,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: polypharmacy,26073,8149,,,4,True
klosa,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: polypharmacy,28262,8451,,,4,True
mhas,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: wealth,22586,13094,,,5,True
mhas,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,"required covariates unavailable: wealth,polypharmacy",22586,13094,,,5,True
mhas,continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: wealth,20048,11961,,,5,True
mhas,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,"required covariates unavailable: wealth,polypharmacy",20048,11961,,,5,True
share,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: polypharmacy,96818,54838,,,5,True
share,continuous_gee_fixed_unannualised,medication_burden,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,required covariates unavailable: polypharmacy,107488,60204,,,5,True
klosa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm5_change_raw,required covariates unavailable: depression_or_psychiatric,0,0,0.0,0.0,0,True
klosa,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm5_change_raw,required covariates unavailable: depression_or_psychiatric,0,0,0.0,0.0,0,True
mhas,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm5_change_raw,required covariates unavailable: depression_or_psychiatric,0,0,0.0,0.0,0,True
mhas,continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm5_change_raw,required covariates unavailable: depression_or_psychiatric,0,0,0.0,0.0,0,True
klosa,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,state_to,cmm4_start,multinomial model did not converge,20347,7194,,,5,True
share,transition_multinomial_cluster,mental_health,matched_0.20,fixed,False,state_to,cmm4_start,multinomial model did not converge,75705,45805,,,5,True
mhas,continuous_interval_gt_1.5_to_2.5y,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,insufficient observations or exposure variation,0,0,0.0,0.0,0,True
mhas,continuous_interval_gt_1.5_to_2.5y,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,insufficient observations or exposure variation,0,0,0.0,0.0,0,True
klosa,continuous_interval_gt_2.5y,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,insufficient observations or exposure variation,0,0,0.0,0.0,0,True
klosa,continuous_interval_gt_2.5y,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,insufficient observations or exposure variation,0,0,0.0,0.0,0,True
charls,continuous_interval_le_1.5y,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,insufficient observations or exposure variation,51,51,,,2,True
charls,continuous_interval_le_1.5y,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,insufficient observations or exposure variation,111,111,,,3,True
klosa,continuous_interval_le_1.5y,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,insufficient observations or exposure variation,0,0,0.0,0.0,0,True
klosa,continuous_interval_le_1.5y,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,insufficient observations or exposure variation,0,0,0.0,0.0,0,True
mhas,continuous_interval_le_1.5y,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,insufficient observations or exposure variation,0,0,0.0,0.0,0,True
mhas,continuous_interval_le_1.5y,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,insufficient observations or exposure variation,0,0,0.0,0.0,0,True
