cohort,mortality_available,standardization,state_definition,candidate_start_waves,missing_scheduled_end,missing_end_domain_state,death_before_or_at_end,missing_scheduled_confirmation,missing_confirmation_domain_state,death_before_or_at_confirmation,eligible_confirmed_intervals
charls,True,fixed,legacy,66032,17734,9206,1221,11222,4149,708,21792
elsa,False,fixed,legacy,85302,20286,1538,0,14190,1140,0,48148
hrs,True,fixed,legacy,181502,24699,9702,8270,19603,6153,6215,106860
klosa,True,fixed,legacy,35838,7394,919,1443,6610,595,1063,17814
mhas,True,fixed,legacy,66048,19655,4879,3991,11992,2560,2918,20053
share,True,fixed,legacy,240738,129042,4455,10338,48638,1531,4915,41819
charls,True,fixed,strict,66032,17734,9206,1221,11222,4149,708,21792
elsa,False,fixed,strict,85302,20286,1538,0,14190,1140,0,48148
hrs,True,fixed,strict,181502,24699,9702,8270,19603,6153,6215,106860
klosa,True,fixed,strict,35838,7394,919,1443,6610,595,1063,17814
mhas,True,fixed,strict,66048,19655,4879,3991,11992,2560,2918,20053
share,True,fixed,strict,240738,129042,4455,10338,48638,1531,4915,41819
charls,True,fixed,matched_0.15,66032,17734,9206,1221,11222,4149,708,21792
elsa,False,fixed,matched_0.15,85302,20286,1538,0,14190,1140,0,48148
hrs,True,fixed,matched_0.15,181502,24699,9702,8270,19603,6153,6215,106860
klosa,True,fixed,matched_0.15,35838,7394,919,1443,6610,595,1063,17814
mhas,True,fixed,matched_0.15,66048,19655,4879,3991,11992,2560,2918,20053
share,True,fixed,matched_0.15,240738,129042,4455,10338,48638,1531,4915,41819
charls,True,fixed,matched_0.20,66032,17734,9206,1221,11222,4149,708,21792
elsa,False,fixed,matched_0.20,85302,20286,1538,0,14190,1140,0,48148
hrs,True,fixed,matched_0.20,181502,24699,9702,8270,19603,6153,6215,106860
klosa,True,fixed,matched_0.20,35838,7394,919,1443,6610,595,1063,17814
mhas,True,fixed,matched_0.20,66048,19655,4879,3991,11992,2560,2918,20053
share,True,fixed,matched_0.20,240738,129042,4455,10338,48638,1531,4915,41819
charls,True,fixed,matched_0.25,66032,17734,9206,1221,11222,4149,708,21792
elsa,False,fixed,matched_0.25,85302,20286,1538,0,14190,1140,0,48148
hrs,True,fixed,matched_0.25,181502,24699,9702,8270,19603,6153,6215,106860
klosa,True,fixed,matched_0.25,35838,7394,919,1443,6610,595,1063,17814
mhas,True,fixed,matched_0.25,66048,19655,4879,3991,11992,2560,2918,20053
share,True,fixed,matched_0.25,240738,129042,4455,10338,48638,1531,4915,41819
charls,True,wave,legacy,66032,17734,9206,1221,11222,4149,708,21792
elsa,False,wave,legacy,85302,20286,1538,0,14190,1140,0,48148
hrs,True,wave,legacy,181502,24699,9702,8270,19603,6153,6215,106860
klosa,True,wave,legacy,35838,7394,919,1443,6610,595,1063,17814
mhas,True,wave,legacy,66048,19655,4879,3991,11992,2560,2918,20053
share,True,wave,legacy,240738,129042,4455,10338,48638,1531,4915,41819
charls,True,wave,strict,66032,17734,9206,1221,11222,4149,708,21792
elsa,False,wave,strict,85302,20286,1538,0,14190,1140,0,48148
hrs,True,wave,strict,181502,24699,9702,8270,19603,6153,6215,106860
klosa,True,wave,strict,35838,7394,919,1443,6610,595,1063,17814
mhas,True,wave,strict,66048,19655,4879,3991,11992,2560,2918,20053
share,True,wave,strict,240738,129042,4455,10338,48638,1531,4915,41819
charls,True,wave,matched_0.15,66032,17734,9206,1221,11222,4149,708,21792
elsa,False,wave,matched_0.15,85302,20286,1538,0,14190,1140,0,48148
hrs,True,wave,matched_0.15,181502,24699,9702,8270,19603,6153,6215,106860
klosa,True,wave,matched_0.15,35838,7394,919,1443,6610,595,1063,17814
mhas,True,wave,matched_0.15,66048,19655,4879,3991,11992,2560,2918,20053
share,True,wave,matched_0.15,240738,129042,4455,10338,48638,1531,4915,41819
charls,True,wave,matched_0.20,66032,17734,9206,1221,11222,4149,708,21792
elsa,False,wave,matched_0.20,85302,20286,1538,0,14190,1140,0,48148
hrs,True,wave,matched_0.20,181502,24699,9702,8270,19603,6153,6215,106860
klosa,True,wave,matched_0.20,35838,7394,919,1443,6610,595,1063,17814
mhas,True,wave,matched_0.20,66048,19655,4879,3991,11992,2560,2918,20053
share,True,wave,matched_0.20,240738,129042,4455,10338,48638,1531,4915,41819
charls,True,wave,matched_0.25,66032,17734,9206,1221,11222,4149,708,21792
elsa,False,wave,matched_0.25,85302,20286,1538,0,14190,1140,0,48148
hrs,True,wave,matched_0.25,181502,24699,9702,8270,19603,6153,6215,106860
klosa,True,wave,matched_0.25,35838,7394,919,1443,6610,595,1063,17814
mhas,True,wave,matched_0.25,66048,19655,4879,3991,11992,2560,2918,20053
share,True,wave,matched_0.25,240738,129042,4455,10338,48638,1531,4915,41819
