analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,term,estimand,death_handling,k,pooled,ci_low,ci_high,prediction_low,prediction_high,tau2,i2,cohorts,covariates_by_cohort,mortality_availability_by_cohort,n_total,clusters_total,scale,held_constant_cohort_set
continuous_gee_fixed_unannualised,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,3,0.058625742748114204,0.005087373391463257,0.11216411210476515,-0.22380030035756432,0.34105178585379275,0.00033922691047368444,76.3616978332338,"charls,klosa,share",charls:;klosa:;share:,charls:True;klosa:True;share:True,158800,78464,beta,"charls,klosa,share"
continuous_gee_fixed_unannualised,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,3,0.170175874405979,0.14124088855202005,0.19911086025993796,0.08472769222834622,0.25562405658361176,0.0,0.0,"charls,klosa,share",charls:;klosa:;share:,charls:True;klosa:True;share:True,194530,90063,beta,"charls,klosa,share"
continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,3,0.0595016258872474,0.005895429808656434,0.11310782196583838,-0.17364572329815114,0.292648975072646,0.0001814657914560802,49.88480864322967,"charls,klosa,share","charls:depression,psychiatric,smoking,bmi,physical_activity,alcohol;klosa:depression,psychiatric,smoking,bmi,physical_activity,alcohol;share:depression,psychiatric,smoking,bmi,physical_activity,alcohol",charls:True;klosa:True;share:True,115044,66758,beta,"charls,klosa,share"
continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,3,0.15860164794857265,0.10269326080910729,0.214510035088038,-0.08759192770872845,0.4047952236058737,0.00020658141187977126,31.581514254208194,"charls,klosa,share","charls:depression,psychiatric,smoking,bmi,physical_activity,alcohol;klosa:depression,psychiatric,smoking,bmi,physical_activity,alcohol;share:depression,psychiatric,smoking,bmi,physical_activity,alcohol",charls:True;klosa:True;share:True,129687,74758,beta,"charls,klosa,share"
continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,3,0.05487654683151667,-0.00762759460196602,0.11738068826499937,-0.2819809802114964,0.39173407387452974,0.0004918166425661927,81.61663341858785,"charls,klosa,share","charls:depression,psychiatric;klosa:depression,psychiatric;share:depression,psychiatric",charls:True;klosa:True;share:True,158627,78441,beta,"charls,klosa,share"
continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,3,0.16287689547788556,0.1338065422477742,0.19194724870799693,0.07702895861308062,0.2487248323426905,0.0,0.0,"charls,klosa,share","charls:depression,psychiatric;klosa:depression,psychiatric;share:depression,psychiatric",charls:True;klosa:True;share:True,190360,89209,beta,"charls,klosa,share"
continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,3,0.060326373171275635,0.014141257677685239,0.10651148866486604,-0.12389715310650908,0.24454989944906036,9.499151754604678e-05,41.33425540620373,"charls,klosa,share","charls:depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital;klosa:depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital;share:depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital",charls:True;klosa:True;share:True,112955,65615,beta,"charls,klosa,share"
continuous_gee_fixed_unannualised,socioeconomic,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,3,0.155074015080952,0.1037653825150977,0.2063826476468063,-0.05729109326753071,0.36743912342943474,0.00013713811854188204,18.42606613669058,"charls,klosa,share","charls:depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital;klosa:depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital;share:depression,psychiatric,smoking,bmi,physical_activity,alcohol,wealth,marital",charls:True;klosa:True;share:True,126764,73262,beta,"charls,klosa,share"
transition_gee,base,matched_0.20,fixed,False,any_cognitive,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,3,1.0033611969337553,0.8399336766974566,1.1985871259153749,0.37430719159579895,2.6895921695233524,0.0043147707623056196,85.30904410123188,"charls,klosa,share",charls:;klosa:;share:,charls:True;klosa:True;share:True,116793,62761,odds_ratio,"charls,klosa,share"
transition_gee,base,matched_0.20,fixed,False,any_functional,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,3,1.3336937483509048,1.1628062333566596,1.5296951145984325,0.6465601350169454,2.7510805539281646,0.0022315389618156514,77.7885642740072,"charls,klosa,share",charls:;klosa:;share:,charls:True;klosa:True;share:True,116793,62761,odds_ratio,"charls,klosa,share"
transition_gee,lifestyle,matched_0.20,fixed,False,any_cognitive,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,3,1.035839831787493,0.9514324267324407,1.127735535357445,0.8058970732480643,1.331391058157214,0.0,26.28747730070805,"charls,klosa,share","charls:depression,psychiatric,smoking,bmi,physical_activity,alcohol;klosa:depression,psychiatric,smoking,bmi,physical_activity,alcohol;share:depression,psychiatric,smoking,bmi,physical_activity,alcohol",charls:True;klosa:True;share:True,86213,53147,odds_ratio,"charls,klosa,share"
transition_gee,lifestyle,matched_0.20,fixed,False,any_functional,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,3,1.2756195239362025,1.1507463100701654,1.4140433522207052,0.8334220745529385,1.9524382897106294,0.0005488939549026352,25.050611815813063,"charls,klosa,share","charls:depression,psychiatric,smoking,bmi,physical_activity,alcohol;klosa:depression,psychiatric,smoking,bmi,physical_activity,alcohol;share:depression,psychiatric,smoking,bmi,physical_activity,alcohol",charls:True;klosa:True;share:True,86213,53147,odds_ratio,"charls,klosa,share"
transition_gee,mental_health,matched_0.20,fixed,False,any_cognitive,cmm4_start,cmm4_start,survivor_conditional_domain_transition,observed_living_endpoint_survivor_conditional_model,3,0.988721499342922,0.8247593815008647,1.1852792768285605,0.36119606410814054,2.7064807743038846,0.004504953823187058,85.61241345567777,"charls,klosa,share","charls:depression,psychiatric;klosa:depression,psychiatric;share:depression,psychiatric",charls:True;klosa:True;share:True,116683,62744,odds_ratio,"charls,klosa,share"
