analysis,adjustment_set,state_definition,standardization,persistent,outcome,exposure,term,estimand,death_handling,k,pooled,ci_low,ci_high,prediction_low,prediction_high,tau2,i2,cohorts,covariates_by_cohort,mortality_availability_by_cohort,n_total,clusters_total,scale
binary_domain_interaction,mental_health,legacy,fixed,False,any_domain,cmm4_start,"C(domain, Treatment(reference='cognitive'))[T.functional]:cmm4_start",survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.3307088357787762,1.272375192927579,1.3917168579382193,1.259958078991405,1.4054324783862793,8.310976541436589e-05,35.88840574200952,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,517140,104544,ratio_of_odds_ratios
binary_domain_interaction,mental_health,legacy,fixed,False,any_domain,cmm4_start,cmm4_start,survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.0420799487814265,1.0055566347034761,1.0799298440037894,0.9610106070115231,1.1299881725855703,0.0006582504366280048,61.35117963988685,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,517140,104544,odds_ratio
binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm4_start,"C(domain, Treatment(reference='cognitive'))[T.functional]:cmm4_start",survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.3216298467080725,1.2264531981671258,1.4241925043042563,1.1009303607891803,1.5865721519910776,0.0034852417920525486,76.04298649834759,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,532254,107207,ratio_of_odds_ratios
binary_domain_interaction,mental_health,matched_0.20,fixed,False,any_domain,cmm4_start,cmm4_start,survivor_conditional_paired_domain_contrast,observed_living_endpoint_survivor_conditional_model,6,1.0060598853373397,0.9460465822116035,1.069880185517747,0.8579028796622904,1.1798031186040685,0.0027197199449687797,81.76930519374869,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,532254,107207,odds_ratio
continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.04589419350929517,0.024282151213020055,0.06750623580557027,-0.005849878926340375,0.09763826594493072,0.0002766453448099619,74.32957400737514,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,361562,130672,beta
continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional-minus-cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.05337232816324137,0.032537189170727565,0.07420746715575517,0.008444453519710009,0.09830020280677274,0.0001961559560362884,51.61160839387572,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,361562,130672,beta
continuous_domain_interaction,mental_health,continuous,fixed,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.09600075116249689,0.0808934298497666,0.11110807247522718,0.0704091027919726,0.12159239953302117,5.04215667287235e-05,41.8270392731452,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,361562,130672,beta
continuous_domain_interaction,mental_health,continuous,wave,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.04633016951269195,0.023615710109580183,0.06904462891580371,-0.009104611800082187,0.10176495082546608,0.00032056477504775066,77.0981404825672,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,361562,130672,beta
continuous_domain_interaction,mental_health,continuous,wave,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional-minus-cognitive],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.04917384136174855,0.0254209554050083,0.0729267273184888,-0.006156972288383911,0.10450465501188101,0.0003117685445413777,66.53009895793019,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,361562,130672,beta
continuous_domain_interaction,mental_health,continuous,wave,False,stacked_worsening,cmm4_change_raw,cmm4_change_raw[functional],paired_observed_interval_domain_contrast,not_applicable_to_observed_interval_change,6,0.08885181657561812,0.07778838530678836,0.09991524784444789,0.0769023780604926,0.10080125509074364,0.0,29.755810696932965,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,361562,130672,beta
continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,observed_interval_change,not_applicable_to_observed_interval_change,6,0.048036980216887216,0.03055525006796132,0.06551871036581311,0.009423555095904715,0.08665040533786972,0.00014716932043268722,63.7563074534558,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,380935,133525,beta
continuous_gee_fixed_annualised,mental_health,continuous,fixed,False,functional_worsening_fixed_annual,cmm4_change_annual,cmm4_change_annual,observed_interval_change,not_applicable_to_observed_interval_change,6,0.15593389037370062,0.14251452971635017,0.16935325103105106,0.13681314193471517,0.17505463881268607,2.0175497893240037e-05,0.0,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,398424,142663,beta
continuous_gee_fixed_unannualised,base,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,6,0.05472541422971127,0.03933904294582827,0.07011178551359427,0.021548319904788824,0.08790250855463372,0.00010696331036034356,57.762995265233684,"charls,elsa,hrs,klosa,mhas,share",charls:;elsa:;hrs:;klosa:;mhas:;share:,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,381212,133554,beta
continuous_gee_fixed_unannualised,base,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,6,0.1660475159161742,0.1542771078315737,0.1778179240007747,0.15333448283563814,0.17876054899671026,0.0,0.0,"charls,elsa,hrs,klosa,mhas,share",charls:;elsa:;hrs:;klosa:;mhas:;share:,charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,410618,144905,beta
continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,5,0.054231204020625486,0.03299785862841013,0.07546454941284084,0.010242175135206477,0.0982202329060445,0.0001325716862270826,58.7939780942652,"charls,hrs,klosa,mhas,share","charls:depression,psychiatric,smoking,bmi,physical_activity,alcohol;hrs:depression,psychiatric,smoking,bmi,physical_activity,alcohol;klosa:depression,psychiatric,smoking,bmi,physical_activity,alcohol;mhas:depression,smoking,bmi,physical_activity,alcohol;share:depression,psychiatric,smoking,bmi,physical_activity,alcohol",charls:True;hrs:True;klosa:True;mhas:True;share:True,257415,106784,beta
continuous_gee_fixed_unannualised,lifestyle,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,5,0.14833767230849035,0.1314369048392697,0.165238439777711,0.12896549567579277,0.16770984894118793,0.0,17.73653762639476,"charls,hrs,klosa,mhas,share","charls:depression,psychiatric,smoking,bmi,physical_activity,alcohol;hrs:depression,psychiatric,smoking,bmi,physical_activity,alcohol;klosa:depression,psychiatric,smoking,bmi,physical_activity,alcohol;mhas:depression,smoking,bmi,physical_activity,alcohol;share:depression,psychiatric,smoking,bmi,physical_activity,alcohol",charls:True;hrs:True;klosa:True;mhas:True;share:True,260196,112824,beta
continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,6,0.049569014518765116,0.030720833247895974,0.06841719578963426,0.00605773561980924,0.09308029341772099,0.00019183631333645642,69.60255372816916,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,380935,133525,beta
continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,cognitive_worsening_fixed_raw,cmm5_change_raw,cmm5_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,4,0.031219275269625733,0.00422808419442865,0.05821046634482281,-0.04306634915108877,0.10550489969034023,0.0002261508676941833,81.57399205484361,"charls,elsa,hrs,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;share:depression,psychiatric",charls:True;elsa:False;hrs:True;share:True,220425,100336,beta
continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm4_change_raw,cmm4_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,6,0.16026084623043668,0.14839556625705147,0.1721261262038219,0.14744534351147653,0.17307634894939683,0.0,0.0,"charls,elsa,hrs,klosa,mhas,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;klosa:depression,psychiatric;mhas:depression;share:depression,psychiatric",charls:True;elsa:False;hrs:True;klosa:True;mhas:True;share:True,398424,142663,beta
continuous_gee_fixed_unannualised,mental_health,continuous,fixed,False,functional_worsening_fixed_raw,cmm5_change_raw,cmm5_change_raw,observed_interval_change,not_applicable_to_observed_interval_change,4,0.12029670839475055,0.0972106164372164,0.1433828003522847,0.06422679177322821,0.1763666250162729,0.00011719599989815247,55.65984844134553,"charls,elsa,hrs,share","charls:depression,psychiatric;elsa:depression,psychiatric;hrs:depression,psychiatric;share:depression,psychiatric",charls:True;elsa:False;hrs:True;share:True,248280,110462,beta
