cohort,mortality_available,standardization,state_definition,state,n,percent,population
charls,True,fixed,legacy,cognitive_only,15363,22.310161049069865,five_state_including_validated_death
charls,True,fixed,legacy,death,2829,4.10827609241806,five_state_including_validated_death
charls,True,fixed,legacy,functional_only,4007,5.818968646984505,five_state_including_validated_death
charls,True,fixed,legacy,joint,4155,6.0338943669130565,five_state_including_validated_death
charls,True,fixed,legacy,unimpaired,42507,61.72869984461451,five_state_including_validated_death
elsa,False,fixed,legacy,cognitive_only,12571,14.73705188623948,four_state_mortality_endpoint_unavailable
elsa,False,fixed,legacy,functional_only,7981,9.356169843614452,four_state_mortality_endpoint_unavailable
elsa,False,fixed,legacy,joint,4948,5.80056739584066,four_state_mortality_endpoint_unavailable
elsa,False,fixed,legacy,unimpaired,59802,70.1062108743054,four_state_mortality_endpoint_unavailable
hrs,True,fixed,legacy,cognitive_only,45320,23.273608693196117,five_state_including_validated_death
hrs,True,fixed,legacy,death,13225,6.791559465302706,five_state_including_validated_death
hrs,True,fixed,legacy,functional_only,9231,4.740482829807885,five_state_including_validated_death
hrs,True,fixed,legacy,joint,12750,6.547628217966692,five_state_including_validated_death
hrs,True,fixed,legacy,unimpaired,114201,58.6467207937266,five_state_including_validated_death
klosa,True,fixed,legacy,cognitive_only,6839,18.230527269819266,five_state_including_validated_death
klosa,True,fixed,legacy,death,1676,4.467665404915498,five_state_including_validated_death
klosa,True,fixed,legacy,functional_only,803,2.1405342005651224,five_state_including_validated_death
klosa,True,fixed,legacy,joint,1871,4.987471344031562,five_state_including_validated_death
klosa,True,fixed,legacy,unimpaired,26325,70.17380178066855,five_state_including_validated_death
mhas,True,fixed,legacy,cognitive_only,18308,25.618851713474104,five_state_including_validated_death
mhas,True,fixed,legacy,death,5415,7.577347718399731,five_state_including_validated_death
mhas,True,fixed,legacy,functional_only,3026,4.2343590389432295,five_state_including_validated_death
mhas,True,fixed,legacy,joint,4587,6.418706183619495,five_state_including_validated_death
mhas,True,fixed,legacy,unimpaired,40127,56.15073534556344,five_state_including_validated_death
share,True,fixed,legacy,cognitive_only,55081,21.657976895431776,five_state_including_validated_death
share,True,fixed,legacy,death,13584,5.341260292070682,five_state_including_validated_death
share,True,fixed,legacy,functional_only,7605,2.9903036308302076,five_state_including_validated_death
share,True,fixed,legacy,joint,11479,4.513569412005253,five_state_including_validated_death
share,True,fixed,legacy,unimpaired,166573,65.49688976966208,five_state_including_validated_death
charls,True,fixed,legacy,cognitive_only,15363,23.265992246183668,living_domain_states_with_validated_death_endpoint
charls,True,fixed,legacy,functional_only,4007,6.06826992973104,living_domain_states_with_validated_death_endpoint
charls,True,fixed,legacy,joint,4155,6.292403683062758,living_domain_states_with_validated_death_endpoint
charls,True,fixed,legacy,unimpaired,42507,64.37333414102254,living_domain_states_with_validated_death_endpoint
elsa,False,fixed,legacy,cognitive_only,12571,14.73705188623948,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,legacy,functional_only,7981,9.356169843614452,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,legacy,joint,4948,5.80056739584066,living_domain_states_mortality_endpoint_unavailable
elsa,False,fixed,legacy,unimpaired,59802,70.1062108743054,living_domain_states_mortality_endpoint_unavailable
hrs,True,fixed,legacy,cognitive_only,45320,24.969421824552896,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,legacy,functional_only,9231,5.085894370309969,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,legacy,joint,12750,7.024715981091117,living_domain_states_with_validated_death_endpoint
hrs,True,fixed,legacy,unimpaired,114201,62.91996782404602,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,legacy,cognitive_only,6839,19.08309615491936,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,legacy,functional_only,803,2.240638428483732,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,legacy,joint,1871,5.220715441709917,living_domain_states_with_validated_death_endpoint
klosa,True,fixed,legacy,unimpaired,26325,73.45554997488699,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,legacy,cognitive_only,18308,27.71923449612403,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,legacy,functional_only,3026,4.581516472868217,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,legacy,joint,4587,6.944949127906977,living_domain_states_with_validated_death_endpoint
mhas,True,fixed,legacy,unimpaired,40127,60.75429990310077,living_domain_states_with_validated_death_endpoint
