cohort,mortality_available,standardization,state_definition,state_from,origin_intervals,returned_to_unimpaired_n,reversion_percent
charls,True,fixed,legacy,cognitive_only,7479,2684,35.88715068859473
charls,True,fixed,legacy,functional_only,2419,939,38.81769326167838
charls,True,fixed,legacy,joint,1766,279,15.798414496036239
charls,True,fixed,legacy,unimpaired,27428,21390,77.98599970832726
elsa,False,fixed,legacy,cognitive_only,8868,4507,50.82318448353631
elsa,False,fixed,legacy,functional_only,5736,1542,26.88284518828452
elsa,False,fixed,legacy,joint,2760,347,12.572463768115941
elsa,False,fixed,legacy,unimpaired,46114,38462,83.40634080756386
hrs,True,fixed,legacy,cognitive_only,35508,11064,31.159175397093613
hrs,True,fixed,legacy,functional_only,7339,1861,25.357678157787166
hrs,True,fixed,legacy,joint,9308,564,6.059303824666953
hrs,True,fixed,legacy,unimpaired,94946,74827,78.81006045541676
klosa,True,fixed,legacy,cognitive_only,5203,1552,29.828944839515664
klosa,True,fixed,legacy,functional_only,659,261,39.60546282245827
klosa,True,fixed,legacy,joint,1415,77,5.4416961130742045
klosa,True,fixed,legacy,unimpaired,20248,17181,84.85282497036745
mhas,True,fixed,legacy,cognitive_only,11969,2755,23.01779597293007
mhas,True,fixed,legacy,functional_only,1900,696,36.63157894736842
mhas,True,fixed,legacy,joint,2743,158,5.760116660590595
mhas,True,fixed,legacy,unimpaired,24902,17683,71.01036061360533
share,True,fixed,legacy,cognitive_only,23582,7203,30.544483080315494
share,True,fixed,legacy,functional_only,3649,1141,31.268840778295427
share,True,fixed,legacy,joint,5248,293,5.583079268292683
share,True,fixed,legacy,unimpaired,74762,60878,81.42906824322516
charls,True,fixed,strict,cognitive_only,6101,2447,40.1081789870513
charls,True,fixed,strict,functional_only,1534,613,39.960886571056065
charls,True,fixed,strict,joint,929,160,17.222820236813778
charls,True,fixed,strict,unimpaired,30528,25249,82.707678197065
elsa,False,fixed,strict,cognitive_only,7373,3947,53.53316153533162
elsa,False,fixed,strict,functional_only,4741,1349,28.453912676650496
elsa,False,fixed,strict,joint,1911,251,13.134484563055992
elsa,False,fixed,strict,unimpaired,49453,42560,86.06151295169151
hrs,True,fixed,strict,cognitive_only,28954,9603,33.1664018788423
hrs,True,fixed,strict,functional_only,5866,1570,26.764405046027957
hrs,True,fixed,strict,joint,6260,388,6.198083067092652
hrs,True,fixed,strict,unimpaired,106021,87231,82.27709604700955
klosa,True,fixed,strict,cognitive_only,4475,1328,29.675977653631286
klosa,True,fixed,strict,functional_only,340,111,32.64705882352941
klosa,True,fixed,strict,joint,1182,62,5.245346869712352
klosa,True,fixed,strict,unimpaired,21528,18754,87.11445559271647
mhas,True,fixed,strict,cognitive_only,9632,2545,26.42234219269103
mhas,True,fixed,strict,functional_only,1774,666,37.54227733934611
mhas,True,fixed,strict,joint,1875,99,5.28
mhas,True,fixed,strict,unimpaired,28233,20956,74.22519746396061
share,True,fixed,strict,cognitive_only,17329,5625,32.46003808644468
share,True,fixed,strict,functional_only,4401,1360,30.902067711883664
share,True,fixed,strict,joint,4496,269,5.983096085409253
share,True,fixed,strict,unimpaired,81015,67551,83.38085539714868
charls,True,fixed,matched_0.15,cognitive_only,3010,1316,43.72093023255814
charls,True,fixed,matched_0.15,functional_only,4376,2031,46.412248628884825
charls,True,fixed,matched_0.15,joint,1184,244,20.60810810810811
charls,True,fixed,matched_0.15,unimpaired,30522,25413,83.26125417731473
elsa,False,fixed,matched_0.15,cognitive_only,6018,3299,54.818876703223665
elsa,False,fixed,matched_0.15,functional_only,6214,1742,28.03347280334728
elsa,False,fixed,matched_0.15,joint,2001,266,13.29335332333833
elsa,False,fixed,matched_0.15,unimpaired,49245,42137,85.56604731444817
