cohort,mortality_available,wave,standardization,state_definition,common_living_observed_n,target_percent,cognitive_cut,cognitive_percent_below_cut,cognitive_percent_equal_cut,cognitive_percent_at_or_below_cut,cognitive_empirical_percentile_lower,cognitive_empirical_percentile_upper,cognitive_target_minus_realised_pp,functional_cut,functional_percent_above_cut,functional_percent_equal_cut,functional_percent_at_or_above_cut,functional_empirical_percentile_lower,functional_empirical_percentile_upper,functional_target_minus_realised_pp
charls,True,1,fixed,legacy,12264,,-0.43,30.169602087410308,0.0,30.169602087410308,30.169602087410308,30.169602087410308,,0.43,12.483692106979777,0.0,12.483692106979777,87.51630789302021,87.51630789302021,
charls,True,2,fixed,legacy,13085,,-0.43,27.917462743599543,0.0,27.917462743599543,27.917462743599543,27.917462743599543,,0.43,11.715705005731754,0.0,11.715705005731754,88.28429499426824,88.28429499426824,
charls,True,3,fixed,legacy,15570,,-0.43,29.511881824020552,0.0,29.511881824020552,29.511881824020552,29.511881824020552,,0.43,13.005780346820808,0.0,13.005780346820808,86.9942196531792,86.9942196531792,
charls,True,4,fixed,legacy,11918,,-0.43,27.689209598925995,0.0,27.689209598925995,27.689209598925995,27.689209598925995,,0.43,11.847625440510152,0.0,11.847625440510152,88.15237455948984,88.15237455948984,
charls,True,5,fixed,legacy,13195,,-0.43,32.360742705570296,0.0,32.360742705570296,32.360742705570296,32.360742705570296,,0.43,12.588101553618793,0.0,12.588101553618793,87.41189844638122,87.41189844638122,
elsa,False,1,fixed,legacy,11700,,-0.43,26.94871794871795,0.0,26.94871794871795,26.94871794871795,26.94871794871795,,0.43,16.75213675213675,0.0,16.75213675213675,83.24786324786325,83.24786324786325,
elsa,False,2,fixed,legacy,9224,,-0.43,23.319601040763228,0.0,23.319601040763228,23.319601040763228,23.319601040763228,,0.43,17.16175195143105,0.0,17.16175195143105,82.83824804856896,82.83824804856896,
elsa,False,3,fixed,legacy,9467,,-0.43,21.3900918981726,0.0,21.3900918981726,21.3900918981726,21.3900918981726,,0.43,15.295236083236505,0.0,15.295236083236505,84.7047639167635,84.7047639167635,
elsa,False,4,fixed,legacy,10537,,-0.43,19.85384834393091,0.0,19.85384834393091,19.85384834393091,19.85384834393091,,0.43,13.333966024485147,0.0,13.333966024485147,86.66603397551485,86.66603397551485,
elsa,False,5,fixed,legacy,9659,,-0.43,20.002070607723365,0.0,20.002070607723365,20.002070607723365,20.002070607723365,,0.43,15.58132311833523,0.0,15.58132311833523,84.41867688166477,84.41867688166477,
elsa,False,6,fixed,legacy,9902,,-0.43,17.430822056150273,0.0,17.430822056150273,17.430822056150273,17.430822056150273,,0.43,14.754595031306808,0.0,14.754595031306808,85.2454049686932,85.2454049686932,
elsa,False,7,fixed,legacy,8910,,-0.43,18.069584736251404,0.0,18.069584736251404,18.069584736251404,18.069584736251404,,0.43,14.130190796857464,0.0,14.130190796857464,85.86980920314254,85.86980920314254,
elsa,False,8,fixed,legacy,7845,,-0.43,18.840025493945188,0.0,18.840025493945188,18.840025493945188,18.840025493945188,,0.43,15.015933715742511,0.0,15.015933715742511,84.98406628425748,84.98406628425748,
elsa,False,9,fixed,legacy,8058,,-0.43,16.778356912385206,0.0,16.778356912385206,16.778356912385206,16.778356912385206,,0.43,14.023330851327872,0.0,14.023330851327872,85.97666914867213,85.97666914867213,
hrs,True,10,fixed,legacy,19357,,-0.43,33.26445213617812,0.0,33.26445213617812,33.26445213617812,33.26445213617812,,0.43,12.987549723614197,0.0,12.987549723614197,87.0124502763858,87.0124502763858,
hrs,True,11,fixed,legacy,18372,,-0.43,34.519921619856305,0.0,34.519921619856305,34.519921619856305,34.519921619856305,,0.43,12.459177008491181,0.0,12.459177008491181,87.54082299150882,87.54082299150882,
hrs,True,12,fixed,legacy,16779,,-0.43,34.018713868526135,0.0,34.018713868526135,34.018713868526135,34.018713868526135,,0.43,13.761249180523274,0.0,13.761249180523274,86.23875081947673,86.23875081947673,
hrs,True,13,fixed,legacy,19040,,-0.43,33.43487394957983,0.0,33.43487394957983,33.43487394957983,33.43487394957983,,0.43,13.04621848739496,0.0,13.04621848739496,86.95378151260505,86.95378151260505,
hrs,True,14,fixed,legacy,15741,,-0.43,30.5444380916079,0.0,30.5444380916079,30.5444380916079,30.5444380916079,,0.43,13.366368083349215,0.0,13.366368083349215,86.63363191665078,86.63363191665078,
hrs,True,15,fixed,legacy,14326,,-0.43,30.5668016194332,0.0,30.5668016194332,30.5668016194332,30.5668016194332,,0.43,12.2085718274466,0.0,12.2085718274466,87.7914281725534,87.7914281725534,
hrs,True,5,fixed,legacy,15982,,-0.43,30.997372043548992,0.0,30.997372043548992,30.997372043548992,30.997372043548992,,0.43,10.230259041421599,0.0,10.230259041421599,89.76974095857841,89.76974095857841,
hrs,True,6,fixed,legacy,14762,,-0.43,30.056902858691238,0.0,30.056902858691238,30.056902858691238,30.056902858691238,,0.43,10.777672402113534,0.0,10.777672402113534,89.22232759788646,89.22232759788646,
hrs,True,7,fixed,legacy,16720,,-0.43,30.149521531100476,0.0,30.149521531100476,30.149521531100476,30.149521531100476,,0.43,10.41866028708134,0.0,10.41866028708134,89.58133971291866,89.58133971291866,
hrs,True,8,fixed,legacy,15705,,-0.43,31.123845908946198,0.0,31.123845908946198,31.123845908946198,31.123845908946198,,0.43,11.926138172556511,0.0,11.926138172556511,88.0738618274435,88.0738618274435,
hrs,True,9,fixed,legacy,14718,,-0.43,31.988041853512705,0.0,31.988041853512705,31.988041853512705,31.988041853512705,,0.43,11.489332789781221,0.0,11.489332789781221,88.51066721021878,88.51066721021878,
klosa,True,3,fixed,legacy,7488,,-0.43,24.9732905982906,0.0,24.9732905982906,24.9732905982906,24.9732905982906,,0.43,6.971153846153847,0.0,6.971153846153847,93.02884615384616,93.02884615384616,
klosa,True,4,fixed,legacy,7113,,-0.43,23.478138619429213,0.0,23.478138619429213,23.478138619429213,23.478138619429213,,0.43,7.7323211022072265,0.0,7.7323211022072265,92.26767889779278,92.26767889779278,
klosa,True,5,fixed,legacy,7551,,-0.43,23.864388822672495,0.0,23.864388822672495,23.864388822672495,23.864388822672495,,0.43,7.80029135213879,0.0,7.80029135213879,92.19970864786121,92.19970864786121,
klosa,True,6,fixed,legacy,7132,,-0.43,23.681996634885024,0.0,23.681996634885024,23.681996634885024,23.681996634885024,,0.43,7.683679192372406,0.0,7.683679192372406,92.31632080762759,92.31632080762759,
klosa,True,7,fixed,legacy,6554,,-0.43,25.617943240768998,0.0,25.617943240768998,25.617943240768998,25.617943240768998,,0.43,7.094903875495881,0.0,7.094903875495881,92.90509612450411,92.90509612450411,
mhas,True,1,fixed,legacy,12834,,-0.43,32.943743182172355,0.0,32.943743182172355,32.943743182172355,32.943743182172355,,0.43,8.843696431354216,0.0,8.843696431354216,91.15630356864578,91.15630356864578,
mhas,True,2,fixed,legacy,11744,,-0.43,44.22683923705722,0.0,44.22683923705722,44.22683923705722,44.22683923705722,,0.43,9.153610354223433,0.0,9.153610354223433,90.84638964577657,90.84638964577657,
mhas,True,3,fixed,legacy,13427,,-0.43,33.023013331347286,0.0,33.023013331347286,33.023013331347286,33.023013331347286,,0.43,12.720637521412081,0.0,12.720637521412081,87.27936247858791,87.27936247858791,
mhas,True,4,fixed,legacy,12890,,-0.43,35.034910783553144,0.0,35.034910783553144,35.034910783553144,35.034910783553144,,0.43,15.399534522885958,0.0,15.399534522885958,84.60046547711404,84.60046547711404,
mhas,True,5,fixed,legacy,15153,,-0.43,29.848874810268594,0.0,29.848874810268594,29.848874810268594,29.848874810268594,,0.43,11.284894080380123,0.0,11.284894080380123,88.71510591961987,88.71510591961987,
share,True,4,fixed,legacy,53905,,-0.43,29.190242092570262,0.0,29.190242092570262,29.190242092570262,29.190242092570262,,0.43,8.064186995640478,0.0,8.064186995640478,91.93581300435952,91.93581300435952,
share,True,5,fixed,legacy,61312,,-0.43,25.383285490605427,0.0,25.383285490605427,25.383285490605427,25.383285490605427,,0.43,7.528705636743214,0.0,7.528705636743214,92.47129436325679,92.47129436325679,
share,True,6,fixed,legacy,62189,,-0.43,27.50808020711058,0.0,27.50808020711058,27.50808020711058,27.50808020711058,,0.43,7.565646657769058,0.0,7.565646657769058,92.43435334223095,92.43435334223095,
share,True,7,fixed,legacy,12878,,-0.43,33.05637521354248,0.0,33.05637521354248,33.05637521354248,33.05637521354248,,0.43,8.914427706165554,0.0,8.914427706165554,91.08557229383445,91.08557229383445,
share,True,8,fixed,legacy,50454,,-0.43,27.545883378919413,0.0,27.545883378919413,27.545883378919413,27.545883378919413,,0.43,8.459190549807746,0.0,8.459190549807746,91.54080945019226,91.54080945019226,
charls,True,1,fixed,strict,12264,,-0.67,24.64122635355512,0.0,24.64122635355512,24.64122635355512,24.64122635355512,,0.67,7.5016307893020215,0.0,7.5016307893020215,92.49836921069797,92.49836921069797,
charls,True,2,fixed,strict,13085,,-0.67,22.392051967902177,0.0,22.392051967902177,22.392051967902177,22.392051967902177,,0.67,7.099732518150555,0.0,7.099732518150555,92.90026748184944,92.90026748184944,
charls,True,3,fixed,strict,15570,,-0.67,23.55170199100835,0.0,23.55170199100835,23.55170199100835,23.55170199100835,,0.67,8.208092485549132,0.0,8.208092485549132,91.79190751445087,91.79190751445087,
charls,True,4,fixed,strict,11918,,-0.67,21.715052861218325,0.0,21.715052861218325,21.715052861218325,21.715052861218325,,0.67,7.299882530625943,0.0,7.299882530625943,92.70011746937405,92.70011746937405,
charls,True,5,fixed,strict,13195,,-0.67,24.948844259189087,0.0,24.948844259189087,24.948844259189087,24.948844259189087,,0.67,7.9196665403561965,0.0,7.9196665403561965,92.08033345964381,92.08033345964381,
elsa,False,1,fixed,strict,11700,,-0.67,22.085470085470085,0.0,22.085470085470085,22.085470085470085,22.085470085470085,,0.67,12.974358974358974,0.0,12.974358974358974,87.02564102564102,87.02564102564102,
elsa,False,2,fixed,strict,9224,,-0.67,19.232437120555073,0.0,19.232437120555073,19.232437120555073,19.232437120555073,,0.67,13.063746747614918,0.0,13.063746747614918,86.93625325238509,86.93625325238509,
elsa,False,3,fixed,strict,9467,,-0.67,17.502904827294813,0.0,17.502904827294813,17.502904827294813,17.502904827294813,,0.67,11.87282137952889,0.0,11.87282137952889,88.12717862047111,88.12717862047111,
elsa,False,4,fixed,strict,10537,,-0.67,16.21903767675809,0.0,16.21903767675809,16.21903767675809,16.21903767675809,,0.67,13.333966024485147,0.0,13.333966024485147,86.66603397551485,86.66603397551485,
elsa,False,5,fixed,strict,9659,,-0.67,16.19215239672844,0.0,16.19215239672844,16.19215239672844,16.19215239672844,,0.67,12.030230872761155,0.0,12.030230872761155,87.96976912723883,87.96976912723883,
elsa,False,6,fixed,strict,9902,,-0.67,14.300141385578671,0.0,14.300141385578671,14.300141385578671,14.300141385578671,,0.67,11.46233084225409,0.0,11.46233084225409,88.53766915774591,88.53766915774591,
elsa,False,7,fixed,strict,8910,,-0.67,14.725028058361392,0.0,14.725028058361392,14.725028058361392,14.725028058361392,,0.67,11.144781144781145,0.0,11.144781144781145,88.85521885521885,88.85521885521885,
elsa,False,8,fixed,strict,7845,,-0.67,15.347355003186744,0.0,15.347355003186744,15.347355003186744,15.347355003186744,,0.67,11.918419375398342,0.0,11.918419375398342,88.08158062460166,88.08158062460166,
elsa,False,9,fixed,strict,8058,,-0.67,13.340779349714568,0.0,13.340779349714568,13.340779349714568,13.340779349714568,,0.67,13.191859022089849,0.0,13.191859022089849,86.80814097791016,86.80814097791016,
hrs,True,10,fixed,strict,19357,,-0.67,26.49687451567908,0.0,26.49687451567908,26.49687451567908,26.49687451567908,,0.67,9.639923541871157,0.0,9.639923541871157,90.36007645812884,90.36007645812884,
hrs,True,11,fixed,strict,18372,,-0.67,27.60178532549532,0.0,27.60178532549532,27.60178532549532,27.60178532549532,,0.67,9.378401915959069,0.0,9.378401915959069,90.62159808404093,90.62159808404093,
hrs,True,12,fixed,strict,16779,,-0.67,27.21854699326539,0.0,27.21854699326539,27.21854699326539,27.21854699326539,,0.67,10.41182430418976,0.0,10.41182430418976,89.58817569581024,89.58817569581024,
hrs,True,13,fixed,strict,19040,,-0.67,26.439075630252102,0.0,26.439075630252102,26.439075630252102,26.439075630252102,,0.67,9.921218487394958,0.0,9.921218487394958,90.07878151260505,90.07878151260505,
hrs,True,14,fixed,strict,15741,,-0.67,23.664316117146306,0.0,23.664316117146306,23.664316117146306,23.664316117146306,,0.67,9.961247697096754,0.0,9.961247697096754,90.03875230290325,90.03875230290325,
hrs,True,15,fixed,strict,14326,,-0.67,24.14491134999302,0.0,24.14491134999302,24.14491134999302,24.14491134999302,,0.67,8.955744799664945,0.0,8.955744799664945,91.04425520033506,91.04425520033506,
hrs,True,5,fixed,strict,15982,,-0.67,24.934301088724816,0.0,24.934301088724816,24.934301088724816,24.934301088724816,,0.67,7.320735827806282,0.0,7.320735827806282,92.67926417219373,92.67926417219373,
hrs,True,6,fixed,strict,14762,,-0.67,23.912748950006772,0.0,23.912748950006772,23.912748950006772,23.912748950006772,,0.67,7.681885923316624,0.0,7.681885923316624,92.31811407668337,92.31811407668337,
hrs,True,7,fixed,strict,16720,,-0.67,23.76196172248804,0.0,23.76196172248804,23.76196172248804,23.76196172248804,,0.67,7.565789473684211,0.0,7.565789473684211,92.43421052631578,92.43421052631578,
hrs,True,8,fixed,strict,15705,,-0.67,24.788283985991722,0.0,24.788283985991722,24.788283985991722,24.788283985991722,,0.67,8.57688634192932,0.0,8.57688634192932,91.42311365807068,91.42311365807068,
hrs,True,9,fixed,strict,14718,,-0.67,25.458622095393395,0.0,25.458622095393395,25.458622095393395,25.458622095393395,,0.67,8.560945780676722,0.0,8.560945780676722,91.43905421932328,91.43905421932328,
klosa,True,3,fixed,strict,7488,,-0.67,21.327457264957264,0.0,21.327457264957264,21.327457264957264,21.327457264957264,,0.67,5.31517094017094,0.0,5.31517094017094,94.68482905982906,94.68482905982906,
klosa,True,4,fixed,strict,7113,,-0.67,19.808800787290874,0.0,19.808800787290874,19.808800787290874,19.808800787290874,,0.67,5.525094896668072,0.0,5.525094896668072,94.47490510333193,94.47490510333193,
klosa,True,5,fixed,strict,7551,,-0.67,20.58005562177195,0.0,20.58005562177195,20.58005562177195,20.58005562177195,,0.67,5.257581777248046,0.0,5.257581777248046,94.74241822275195,94.74241822275195,
klosa,True,6,fixed,strict,7132,,-0.67,20.47111609646663,0.0,20.47111609646663,20.47111609646663,20.47111609646663,,0.67,6.029164329781268,0.0,6.029164329781268,93.97083567021873,93.97083567021873,
klosa,True,7,fixed,strict,6554,,-0.67,22.047604516325908,0.0,22.047604516325908,22.047604516325908,22.047604516325908,,0.67,5.6148916692096424,0.0,5.6148916692096424,94.38510833079036,94.38510833079036,
mhas,True,1,fixed,strict,12834,,-0.67,24.80910082593112,0.0,24.80910082593112,24.80910082593112,24.80910082593112,,0.67,6.989247311827956,0.0,6.989247311827956,93.01075268817203,93.01075268817203,
mhas,True,2,fixed,strict,11744,,-0.67,35.80551771117166,0.0,35.80551771117166,35.80551771117166,35.80551771117166,,0.67,7.016348773841961,0.0,7.016348773841961,92.98365122615803,92.98365122615803,
mhas,True,3,fixed,strict,13427,,-0.67,25.88813584568407,0.0,25.88813584568407,25.88813584568407,25.88813584568407,,0.67,10.195873985253593,0.0,10.195873985253593,89.80412601474642,89.80412601474642,
mhas,True,4,fixed,strict,12890,,-0.67,28.17688130333592,0.0,28.17688130333592,28.17688130333592,28.17688130333592,,0.67,12.179984484096199,0.0,12.179984484096199,87.8200155159038,87.8200155159038,
mhas,True,5,fixed,strict,15153,,-0.67,23.03174288919686,0.0,23.03174288919686,23.03174288919686,23.03174288919686,,0.67,9.615257704744936,0.0,9.615257704744936,90.38474229525507,90.38474229525507,
share,True,4,fixed,strict,53905,,-0.67,22.47472405157221,0.0,22.47472405157221,22.47472405157221,22.47472405157221,,0.67,8.064186995640478,0.0,8.064186995640478,91.93581300435952,91.93581300435952,
share,True,5,fixed,strict,61312,,-0.67,19.361625782881003,0.0,19.361625782881003,19.361625782881003,19.361625782881003,,0.67,7.528705636743214,0.0,7.528705636743214,92.47129436325679,92.47129436325679,
share,True,6,fixed,strict,62189,,-0.67,20.981202463458168,0.0,20.981202463458168,20.981202463458168,20.981202463458168,,0.67,7.565646657769058,0.0,7.565646657769058,92.43435334223095,92.43435334223095,
share,True,7,fixed,strict,12878,,-0.67,25.26789874204069,0.0,25.26789874204069,25.26789874204069,25.26789874204069,,0.67,8.914427706165554,0.0,8.914427706165554,91.08557229383445,91.08557229383445,
share,True,8,fixed,strict,50454,,-0.67,20.94779403020573,0.0,20.94779403020573,20.94779403020573,20.94779403020573,,0.67,8.459190549807746,0.0,8.459190549807746,91.54080945019226,91.54080945019226,
charls,True,1,fixed,matched_0.15,12264,15.0,-1.1734633762341944,14.897260273972604,0.16307893020221786,15.060339204174822,14.897260273972604,15.060339204174822,-0.06033920417482186,0.1030717173399529,12.483692106979777,4.500978473581213,16.984670580560994,83.01532941943901,87.51630789302021,-1.9846705805609943
charls,True,2,fixed,matched_0.15,13085,15.0,-1.0643553510695607,14.871990829193733,0.10699273977837218,14.978983568972106,14.871990829193733,14.978983568972106,0.021016431027893745,0.1030717173399529,11.715705005731754,5.227359572029041,16.943064577760794,83.0569354222392,88.28429499426824,-1.9430645777607936
charls,True,3,fixed,matched_0.15,15570,15.0,-1.0758017987227377,14.913294797687863,0.10918432883750802,15.02247912652537,14.913294797687863,15.02247912652537,-0.02247912652537032,0.554915391585342,11.432241490044959,1.573538856775851,13.005780346820808,86.9942196531792,88.56775850995504,1.9942196531791918
charls,True,4,fixed,matched_0.15,11918,15.0,-0.9609359929280141,14.968954522570902,0.00839066957543212,14.977345192146332,14.968954522570902,14.977345192146332,0.02265480785366769,0.1030717173399529,11.847625440510152,4.296022822621246,16.143648263131396,83.8563517368686,88.15237455948984,-1.1436482631313964
charls,True,5,fixed,matched_0.15,13195,15.0,-1.0719204986959008,14.740431981811291,0.2955665024630542,15.035998484274346,14.740431981811291,15.035998484274346,-0.035998484274346154,0.554915391585342,11.360363774156877,1.2277377794619173,12.588101553618793,87.41189844638122,88.63963622584312,2.4118984463812065
elsa,False,1,fixed,matched_0.15,11700,15.0,-0.8988210699308595,13.726495726495727,2.0,15.726495726495726,13.726495726495727,15.726495726495726,-0.7264957264957257,0.6698785698208627,12.974358974358974,2.5384615384615383,15.512820512820513,84.48717948717949,87.02564102564102,-0.5128205128205128
elsa,False,2,fixed,matched_0.15,9224,15.0,-0.866427024581505,13.97441457068517,1.2250650477016478,15.199479618386816,13.97441457068517,15.199479618386816,-0.19947961838681572,0.6698785698208627,13.063746747614918,3.0138768430182132,16.07762359063313,83.92237640936688,86.93625325238509,-1.0776235906331308
elsa,False,3,fixed,matched_0.15,9467,15.0,-0.7528945602500712,14.175557198690186,0.021126016689553186,14.19668321537974,14.175557198690186,14.19668321537974,0.8033167846202591,0.658609331297469,14.260061265448401,1.035174817788106,15.295236083236505,84.7047639167635,85.7399387345516,-0.29523608323650485
elsa,False,4,fixed,matched_0.15,10537,15.0,-0.7205005149007164,13.096706842554806,1.784189048116162,14.88089589067097,13.096706842554806,14.88089589067097,0.11910410932902948,0.6811478083442573,11.464363670874063,1.8696023536110846,13.333966024485147,86.66603397551485,88.53563632912594,1.6660339755148534
elsa,False,5,fixed,matched_0.15,9659,15.0,-0.7205005149007164,12.672119267004867,1.9877834144321358,14.659902681437002,12.672119267004867,14.659902681437002,0.3400973185629983,0.6698785698208627,12.030230872761155,2.4536701521896678,14.483901024950823,85.51609897504918,87.96976912723883,0.5160989750491769
elsa,False,6,fixed,matched_0.15,9902,15.0,-0.5745740052199279,14.300141385578671,0.010098969905069682,14.310240355483742,14.300141385578671,14.310240355483742,0.6897596445162577,0.658609331297469,13.754797010704909,0.9997980206018987,14.754595031306808,85.2454049686932,86.2452029892951,0.24540496869319206
elsa,False,7,fixed,matched_0.15,8910,15.0,-0.6881064695513615,13.153759820426487,1.5712682379349048,14.725028058361392,13.153759820426487,14.725028058361392,0.27497194163860783,0.658609331297469,13.153759820426487,0.9764309764309763,14.130190796857464,85.86980920314254,86.84624017957351,0.8698092031425357
elsa,False,8,fixed,matched_0.15,7845,15.0,-0.6881064695513615,13.677501593371574,1.669853409815169,15.347355003186744,13.677501593371574,15.347355003186744,-0.3473550031867436,0.658609331297469,14.136392606755896,0.8795411089866157,15.015933715742511,84.98406628425748,85.8636073932441,-0.015933715742511012
elsa,False,9,fixed,matched_0.15,8058,15.0,-0.542179959870573,13.36559940431869,1.4395631670389675,14.805162571357657,13.36559940431869,14.805162571357657,0.19483742864234266,0.658609331297469,13.191859022089849,0.8314718292380243,14.023330851327872,85.97666914867213,86.80814097791016,0.9766691486721282
hrs,True,10,fixed,matched_0.15,19357,15.0,-1.10500783394765,11.391227979542284,3.957224776566617,15.348452756108902,11.391227979542284,15.348452756108902,-0.3484527561089017,0.5739470714223178,11.189750477863306,1.7977992457508911,12.987549723614197,87.0124502763858,88.8102495221367,2.0124502763858025
hrs,True,11,fixed,matched_0.15,18372,15.0,-1.10500783394765,11.816895275419116,4.495972131504463,16.31286740692358,11.816895275419116,16.31286740692358,-1.31286740692358,0.17180442932104445,12.459177008491181,3.973437840191596,16.43261484868278,83.56738515131723,87.54082299150882,-1.4326148486827783
hrs,True,12,fixed,matched_0.15,16779,15.0,-1.10500783394765,12.020978604207642,4.04076524226712,16.06174384647476,12.020978604207642,16.06174384647476,-1.0617438464747586,0.5739470714223178,12.068657250134097,1.692591930389177,13.761249180523274,86.23875081947673,87.9313427498659,1.238750819476726
hrs,True,13,fixed,matched_0.15,19040,15.0,-1.10500783394765,11.25,4.254201680672269,15.504201680672269,11.25,15.504201680672269,-0.5042016806722689,0.5739470714223178,11.444327731092436,1.6018907563025209,13.04621848739496,86.95378151260505,88.55567226890756,1.9537815126050404
hrs,True,14,fixed,matched_0.15,15741,15.0,-1.10500783394765,10.323359379963154,3.506765770916714,13.83012515087987,10.323359379963154,13.83012515087987,1.1698748491201307,0.5739470714223178,11.587573851724795,1.7787942316244203,13.366368083349215,86.63363191665078,88.4124261482752,1.6336319166507849
hrs,True,15,fixed,matched_0.15,14326,15.0,-1.10500783394765,10.344827586206897,3.8461538461538463,14.190981432360742,10.344827586206897,14.190981432360742,0.8090185676392583,0.17180442932104445,12.2085718274466,3.566941225743404,15.775513053190004,84.22448694680999,87.7914281725534,-0.7755130531900036
hrs,True,5,fixed,matched_0.15,15982,15.0,-1.10500783394765,11.450381679389313,3.616568639719685,15.066950319108999,11.450381679389313,15.066950319108999,-0.06695031910899907,0.17180442932104445,10.230259041421599,2.85320986109373,13.08346890251533,86.91653109748468,89.76974095857841,1.91653109748467
hrs,True,6,fixed,matched_0.15,14762,15.0,-1.10500783394765,10.411868310527028,3.698685814930226,14.110554125457256,10.411868310527028,14.110554125457256,0.8894458745427443,0.17180442932104445,10.777672402113534,3.4006232217856662,14.178295623899201,85.82170437610081,89.22232759788646,0.8217043761007989
