cohort,mortality_available,standardization,state_definition,persistent,outcome,intervals,events,event_percent
charls,True,fixed,legacy,False,any_cognitive,27428,4269,15.564386758057461
charls,True,fixed,legacy,False,any_functional,27428,1772,6.460551261484613
charls,True,fixed,legacy,False,cognitive_only,27428,3768,13.73778620387925
charls,True,fixed,legacy,False,functional_only,27428,1271,4.633950707306402
charls,True,fixed,legacy,False,joint,27428,501,1.8266005541782122
charls,True,fixed,legacy,False,death,27428,498,1.8156628263088816
elsa,False,fixed,legacy,False,any_cognitive,46114,5547,12.028884937329227
elsa,False,fixed,legacy,False,any_functional,46114,2717,5.891920024287635
elsa,False,fixed,legacy,False,cognitive_only,46114,4935,10.701739168148501
elsa,False,fixed,legacy,False,functional_only,46114,2105,4.564774255106909
elsa,False,fixed,legacy,False,joint,46114,612,1.327145769180726
hrs,True,fixed,legacy,False,any_cognitive,94946,14852,15.642575779917006
hrs,True,fixed,legacy,False,any_functional,94946,3908,4.116023845133023
hrs,True,fixed,legacy,False,cognitive_only,94946,13619,14.34394287279085
hrs,True,fixed,legacy,False,functional_only,94946,2675,2.8173909380068674
hrs,True,fixed,legacy,False,joint,94946,1233,1.298632907126156
hrs,True,fixed,legacy,False,death,94946,2592,2.729972826659364
klosa,True,fixed,legacy,False,any_cognitive,20248,2264,11.181351244567365
klosa,True,fixed,legacy,False,any_functional,20248,550,2.7163176610035555
klosa,True,fixed,legacy,False,cognitive_only,20248,2009,9.921967601738443
klosa,True,fixed,legacy,False,functional_only,20248,295,1.4569340181746346
klosa,True,fixed,legacy,False,joint,20248,255,1.2593836428289213
klosa,True,fixed,legacy,False,death,20248,508,2.508889766890557
mhas,True,fixed,legacy,False,any_cognitive,24902,5034,20.215243755521644
mhas,True,fixed,legacy,False,any_functional,24902,1623,6.517548791261746
mhas,True,fixed,legacy,False,cognitive_only,24902,4423,17.761625572243194
mhas,True,fixed,legacy,False,functional_only,24902,1012,4.063930607983295
mhas,True,fixed,legacy,False,joint,24902,611,2.4536181832784516
mhas,True,fixed,legacy,False,death,24902,1173,4.710465022889728
share,True,fixed,legacy,False,any_cognitive,74762,8367,11.191514405714132
share,True,fixed,legacy,False,any_functional,74762,2222,2.9720981247157647
share,True,fixed,legacy,False,cognitive_only,74762,7724,10.331451807067761
share,True,fixed,legacy,False,functional_only,74762,1579,2.1120355260693935
share,True,fixed,legacy,False,joint,74762,643,0.8600625986463711
share,True,fixed,legacy,False,death,74762,3938,5.267381824991306
charls,True,fixed,legacy,True,any_cognitive,16589,1056,6.365663994213033
charls,True,fixed,legacy,True,any_functional,16589,392,2.363011634215444
charls,True,fixed,legacy,True,cognitive_only,16589,817,4.924950268250045
charls,True,fixed,legacy,True,functional_only,16589,224,1.3502923624088252
charls,True,fixed,legacy,True,joint,16589,52,0.31346072698776295
elsa,False,fixed,legacy,True,any_cognitive,36031,1431,3.971580028308956
elsa,False,fixed,legacy,True,any_functional,36031,953,2.644944631012184
elsa,False,fixed,legacy,True,cognitive_only,36031,1070,2.969665010685243
elsa,False,fixed,legacy,True,functional_only,36031,572,1.5875218561794011
elsa,False,fixed,legacy,True,joint,36031,115,0.3191696039521523
hrs,True,fixed,legacy,True,any_cognitive,73979,5003,6.7627299639086775
hrs,True,fixed,legacy,True,any_functional,73979,1271,1.7180551237513348
hrs,True,fixed,legacy,True,cognitive_only,73979,4205,5.6840454723637786
hrs,True,fixed,legacy,True,functional_only,73979,641,0.866462104110626
hrs,True,fixed,legacy,True,joint,73979,238,0.3217129185309345
klosa,True,fixed,legacy,True,any_cognitive,13756,745,5.415818551904623
klosa,True,fixed,legacy,True,any_functional,13756,148,1.0758941552776968
klosa,True,fixed,legacy,True,cognitive_only,13756,578,4.201802849665601
klosa,True,fixed,legacy,True,functional_only,13756,59,0.42890375109043327
klosa,True,fixed,legacy,True,joint,13756,52,0.37801686536783946
mhas,True,fixed,legacy,True,any_cognitive,13509,1662,12.302909171663336
mhas,True,fixed,legacy,True,any_functional,13509,373,2.76112221481975
mhas,True,fixed,legacy,True,cognitive_only,13509,1189,8.801539714264564
mhas,True,fixed,legacy,True,functional_only,13509,169,1.2510178399585463
mhas,True,fixed,legacy,True,joint,13509,115,0.8512843289658746
share,True,fixed,legacy,True,any_cognitive,31348,1644,5.244353706775552
share,True,fixed,legacy,True,any_functional,31348,350,1.1164986602016078
share,True,fixed,legacy,True,cognitive_only,31348,1362,4.344774786270256
